task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
119	6d/e6adbc	686910	dupradar (SRX1836008_SRR3655793Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2023-01-09 16:24:13.338	1m 10s	1m 5s	174.9%	238.6 MB	729.2 MB	5.7 GB	105.2 MB
64	ea/873068	686855	rseqc (SRX1836009_SRR3655795AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:14.347	5m 14s	5m 8s	99.6%	1.8 GB	2 GB	6.9 GB	40.8 MB
77	c8/5054fb	686873	rseqc (SRX1836008_SRR3655793AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:20:49.605	4m 48s	4m 45s	98.4%	1.9 GB	2.1 GB	6.4 GB	40.4 MB
118	91/e84597	686908	stringtieFPKM (SRX1836011_SRR3655800AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:24:03.312	1m 40s	1m 32s	110.7%	645.1 MB	819 MB	2.6 GB	357.8 MB
104	98/68df0a	686896	qualimap (SRX1836007_SRR3655792Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:23:48.267	2m 10s	2m 4s	99.3%	9.4 GB	19.3 GB	2.3 GB	541.3 KB
117	28/ef08fb	686906	qualimap (SRX1836011_SRR3655800Aligned.sortedByCoord.out)	COMPLETED	0	2023-01-09 16:24:03.204	2m 10s	2m 4s	97.9%	10 GB	19.3 GB	2.4 GB	515.9 KB
88	ab/474226	686874	preseq (SRX1836008_SRR3655794AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:43.150	4m 5s	3m 57s	99.4%	16.6 MB	103.1 MB	1.7 GB	466.1 KB
95	20/46145c	686887	preseq (SRX1836012_SRR3655802AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:23:03.182	4m 10s	4m 5s	99.4%	18.4 MB	104.9 MB	1.8 GB	464 KB
93	24/460c6f	686885	preseq (SRX1836009_SRR3655796AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:48.369	4m 55s	4m 51s	99.3%	17.1 MB	103.7 MB	1.8 GB	469.7 KB
115	f6/cbecc7	686905	preseq (SRX1836011_SRR3655800AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:24:03.184	4m 20s	4m 15s	99.4%	18.3 MB	105 MB	1.9 GB	463.7 KB
105	13/64ebd3	686895	preseq (SRX1836007_SRR3655792AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:23:48.247	4m 55s	4m 49s	99.4%	18.2 MB	104.8 MB	1.8 GB	469.7 KB
83	55/42a5b9	686875	markDuplicates (SRX1836008_SRR3655794AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:43.163	6m 40s	6m 31s	101.3%	4.3 GB	11.3 GB	5.2 GB	1.8 GB
92	73/723422	686881	markDuplicates (SRX1836009_SRR3655796AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:48.167	6m 50s	6m 43s	105.0%	4.3 GB	11.3 GB	5.4 GB	1.8 GB
98	1d/6d6fa0	686886	markDuplicates (SRX1836012_SRR3655802AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:23:03.151	6m 55s	6m 49s	101.6%	4.3 GB	11.4 GB	5.5 GB	1.8 GB
108	85/5c7c75	686897	markDuplicates (SRX1836007_SRR3655792AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:23:48.323	6m 50s	6m 45s	101.9%	4.3 GB	11.4 GB	5.3 GB	1.8 GB
113	7b/134dae	686904	markDuplicates (SRX1836011_SRR3655800AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:24:03.156	7m 15s	7m 6s	101.4%	4.3 GB	11.4 GB	5.7 GB	1.9 GB
122	cd/f7c7c2	686913	dupradar (SRX1836008_SRR3655794Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2023-01-09 16:29:23.296	2m 10s	2m 7s	185.6%	238.9 MB	729.3 MB	7.9 GB	105.8 MB
123	27/14dc18	686915	dupradar (SRX1836009_SRR3655796Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2023-01-09 16:29:38.211	2m 20s	2m 17s	185.9%	238.9 MB	705.7 MB	8.1 GB	105.9 MB
124	2c/6b2fe3	686916	dupradar (SRX1836012_SRR3655802Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2023-01-09 16:29:58.164	2m 20s	2m 12s	185.8%	240.9 MB	729.3 MB	8.2 GB	106.1 MB
125	24/a9da53	686942	dupradar (SRX1836007_SRR3655792Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2023-01-09 16:30:38.240	2m 15s	2m 13s	186.5%	240.6 MB	729.2 MB	8 GB	105.8 MB
84	1d/b5a790	686879	rseqc (SRX1836008_SRR3655794AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:43.366	10m 20s	10m 14s	99.8%	2.7 GB	2.9 GB	10.7 GB	50.9 MB
97	e8/0c6cad	686891	rseqc (SRX1836012_SRR3655802AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:23:03.231	10m 40s	10m 36s	99.5%	3.4 GB	3.6 GB	11.2 GB	55.9 MB
126	d1/64fa04	686943	dupradar (SRX1836011_SRR3655800Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2023-01-09 16:31:18.189	2m 25s	2m 21s	186.5%	239 MB	729.3 MB	8.4 GB	106.2 MB
89	bd/d1240a	686882	rseqc (SRX1836009_SRR3655796AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:22:48.181	11m 20s	11m 17s	99.0%	2.5 GB	2.7 GB	11 GB	51.1 MB
106	3a/a9dccc	686898	rseqc (SRX1836007_SRR3655792AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:23:48.505	11m 5s	10m 59s	99.4%	2.7 GB	2.9 GB	10.8 GB	50.8 MB
116	3f/c7ae48	686909	rseqc (SRX1836011_SRR3655800AlignedByCoord.out)	COMPLETED	0	2023-01-09 16:24:03.331	11m 15s	11m 9s	99.1%	3.4 GB	3.6 GB	11.6 GB	57.8 MB
