gene_id	concentration in Mix 1 (attomoles/ul)	concentration in Mix 2 (attomoles/ul)	sham11_ssal	sham12_ssal	sham21_ssal	sham22_ssal	sham31_ssal	sham32_ssal	sbs11_ssal	sbs12_ssal	sbs21_ssal	sbs22_ssal	sbs31_ssal	sbs32_ssal	transcript_id(s)	sham11_srsem	sham12_srsem	sham21_srsem	sham22_srsem	sham31_srsem	sham32_srsem	sbs11_srsem	sbs12_srsem	sbs21_srsem	sbs22_srsem	sbs31_srsem	sbs32_srsem	sham11_sfc	sham12_sfc	sham21_sfc	sham22_sfc	sham31_sfc	sham32_sfc	sbs11_sfc	sbs12_sfc	sbs21_sfc	sbs22_sfc	sbs31_sfc	sbs32_sfc	sham11_hfc	sham12_hfc	sham21_hfc	sham22_hfc	sham31_hfc	sham32_hfc	sbs11_hfc	sbs12_hfc	sbs21_hfc	sbs22_hfc	sbs31_hfc	sbs32_hfc	sham11_psal	sham12_psal	sham21_psal	sham22_psal	sham31_psal	sham32_psal	sbs11_psal	sbs12_psal	sbs21_psal	sbs22_psal	sbs31_psal	sbs32_psal
ERCC-00076	234.375	351.5625	31.655381	31.703752	24.465709	25.660953	27.940551	26.583638	88.308098	88.308751	88.399143	87.904392	125.673806	122.826678	DQ883650	32.09	31.03	23.82	25.33	27.5	26.7	87.61	87.61	87.06	86.55	128.29	123.16	27.414818	27.593201	21.127235	22.358677	24.767841	23.72331	75.731178	75.731178	76.604088	76.455261	110.399414	108.469063	32.678238	32.161076	23.988823	25.85935	28.67201	27.373409	87.551338	87.558777	88.960052	88.438896	128.199966	125.259293	34.312305	34.025735	25.48311	27.466419	29.446382	28.405192	93.403471	93.403471	93.66706	93.567071	132.608114	130.512385
ERCC-00044	117.1875	175.78125	1.876215	1.776341	1.004473	1.508526	1.124565	1.767768	6.058408	6.058453	5.178613	5.688925	7.495182	7.463667	DQ459424	2.29	2.11	1.24	1.84	1.34	2.19	7.47	7.47	6.31	6.96	9.23	9.07	2.104886	1.9939	1.104134	1.689678	1.283482	2.020408	6.661674	6.661674	5.753698	6.373634	8.405493	8.470621	2.579703	2.33343	1.275145	1.987608	1.568833	2.361293	7.936805	7.937479	6.633427	7.463104	9.5684	9.787958	1.942553	1.842126	1.009178	1.568828	1.140407	1.826264	6.10081	6.10081	5.240068	5.855667	7.553562	7.575846
ERCC-00162	58.59375	87.890625	9.754942	10.316439	10.513432	12.215414	12.502439	11.961889	39.407614	39.407906	41.737829	39.024594	61.481313	54.101871	DQ516750	8.27	8.87	8.96	10.47	10.94	10.48	35.97	35.97	37.09	34.16	55.69	47.89	7.192262	7.662119	7.756649	9.051093	9.484206	9.08709	28.798971	28.798971	30.900822	28.731699	45.996143	40.678078	8.45815	8.897264	9.021066	10.481483	11.080175	10.556636	33.294685	33.297512	36.615036	33.506935	53.522163	47.274036	10.237342	11.366869	11.657219	13.605326	13.866396	13.150475	43.367201	43.367201	46.143879	42.590143	67.654432	59.483352
ERCC-00071	58.59375	87.890625	7.371801	7.469769	4.285964	6.763892	8.837012	6.579583	26.324401	26.324596	24.963781	22.501356	36.607194	33.657363	DQ883654	7.48	7.36	3.74	6.59	8.65	6.66	26.8	26.8	24.59	22.01	38.41	33.41	6.385194	6.488018	3.717116	5.886346	7.825166	5.858429	22.468601	22.468601	21.663954	19.594507	32.127659	29.712736	7.35384	7.482544	4.087081	6.803327	8.553987	6.841686	26.375231	26.377472	24.838255	22.590986	37.68491	34.2108	7.73235	7.937287	4.247185	7.243891	9.382426	7.072779	28.516989	28.516989	26.520192	23.881743	39.419124	35.468334
ERCC-00084	29.296875	43.9453125	1.67548	1.922777	2.164104	1.800256	1.643315	2.124728	6.098797	6.098843	7.29719	6.249162	9.041091	8.337113	DQ883682	1.83	2.24	2.43	2.12	2.1	2.48	7.13	7.13	8.66	7.01	10.3	9.8	1.785745	2.051615	2.28698	1.914591	1.795187	2.32636	6.30856	6.30856	7.74174	6.651547	9.731801	9.033727	2.088788	2.402308	2.619567	2.253988	2.190641	2.681078	7.270627	7.271245	9.047366	7.562336	11.172344	10.375485	1.646704	2.012694	2.274154	1.889784	1.770632	2.157324	6.125872	6.125872	7.690647	6.381369	9.006049	8.639249
ERCC-00099	14.6484375	21.9726563	1.751361	1.747542	1.781922	1.118229	1.065167	1.153453	4.524199	4.524232	3.838764	4.299164	4.892052	5.315376	DQ875387	2.29	2.2	2.19	1.37	1.26	1.47	5.79	5.79	4.79	5.36	6.21	6.74	2.021412	2.037328	2.026983	1.293972	1.246805	1.373266	5.170063	5.170063	4.458321	4.994888	5.738261	6.272645	2.477399	2.384468	2.446256	1.523353	1.406286	1.604965	6.047239	6.047753	5.152725	5.843905	6.7346	7.306081	1.876691	1.813111	1.801768	1.163474	1.088098	1.19218	4.602369	4.602369	3.931252	4.427246	4.854957	5.43563
ERCC-00054	14.6484375	21.9726563	1.805799	7.836004	0.0	9.582608	4.870616	3.977352	23.324131	23.324304	29.904846	22.012845	32.655187	25.923808	DQ516731	0.44	1.79	0.0	1.99	1.21	0.92	4.09	4.09	6.2	4.85	7.19	5.46	0.299297	1.268769	0.0	1.48944	0.811342	0.665176	3.742015	3.742015	4.550637	3.478908	5.10827	4.131115	0.366812	1.485647	0.0	1.672645	0.991723	0.777405	3.671894	3.672206	5.039003	4.052504	5.806748	4.642356	3.134168	13.168221	0.0	14.680901	8.4251	6.658428	36.184214	36.184214	43.912771	35.30711	49.47973	40.43376
ERCC-00157	7.32421875	10.9863281	0.442094	1.104534	0.273098	0.746456	0.927437	0.757346	2.379245	2.379262	1.65604	1.589235	2.415884	2.347096	DQ839618	0.47	1.21	0.24	0.84	1.02	0.91	2.6	2.6	2.08	1.89	2.94	2.8	0.474399	1.183166	0.292573	0.804071	1.012897	0.832817	2.518198	2.518198	1.78324	1.707515	2.634526	2.560362	0.581413	1.383938	0.247657	0.942985	1.141662	0.973331	2.591973	2.592193	2.154207	1.999015	3.01498	2.937082	0.477434	1.154935	0.199804	0.745456	0.926908	0.788893	2.245633	2.245633	1.765236	1.649375	2.602177	2.395303
ERCC-00143	3.66210938	5.49316406	0.106108	0.334866	0.0	0.358317	0.095398	0.116854	0.548207	0.548211	1.129652	0.447773	1.559576	0.904505	DQ668362	0.12	0.37	0.0	0.39	0.11	0.13	0.49	0.49	1.17	0.49	1.45	1.01	0.104602	0.325757	0.0	0.348585	0.092409	0.116755	0.526997	0.526997	1.090421	0.432472	1.520994	0.891817	0.128197	0.38144	0.0	0.410378	0.112953	0.136454	0.487434	0.487475	1.323778	0.506746	1.583826	1.030874	0.116466	0.355879	0.0	0.381882	0.104359	0.123714	0.597606	0.597606	1.223855	0.472327	1.576008	0.9516
ERCC-00039	3.66210938	5.49316406	0.346908	0.091234	0.285731	0.223139	0.20793	0.297142	0.89615	0.896156	1.231091	0.759082	2.35332	1.193248	DQ883656	0.4	0.1	0.34	0.24	0.24	0.32	0.7	0.7	1.4	0.82	2.32	1.3	0.328088	0.085416	0.269787	0.209017	0.198489	0.286428	0.83096	0.83096	1.162164	0.661902	2.200449	1.140605	0.402098	0.100017	0.338773	0.24607	0.242618	0.334754	0.671798	0.671856	1.410874	0.775578	2.696345	1.328755	0.38164	0.097179	0.319429	0.238354	0.227978	0.315303	0.815937	0.815937	1.336786	0.745204	2.295245	1.258232
