gene_id	concentration in Mix 1 (attomoles/ul)	concentration in Mix 2 (attomoles/ul)	flight1_ssal	flight2_ssal	flight3_ssal	ground1_ssal	ground2_ssal	ground3_ssal	transcript_id(s)	flight1_srsem	flight2_srsem	flight3_srsem	ground1_srsem	ground2_srsem	ground3_srsem	flight1_sfc	flight2_sfc	flight3_sfc	ground1_sfc	ground2_sfc	ground3_sfc	flight1_hfc	flight2_hfc	flight3_hfc	ground1_hfc	ground2_hfc	ground3_hfc	flight1_psal	flight2_psal	flight3_psal	ground1_psal	ground2_psal	ground3_psal
ERCC-00043	468.75	937.5	196.472729	280.675525	275.647633	318.977326	407.048218	388.288613	DQ516787	175.47	262.62	260.42	290.85	354.05	346.95	185.533188	263.279694	261.793091	305.106171	385.756195	374.068146	201.450302	279.998505	280.048248	326.35202	417.482208	403.400208	196.440047	277.235215	274.233819	316.278001	403.394218	386.331077
ERCC-00022	234.375	468.75	54.651627	73.562469	74.414979	88.984768	103.680695	97.907027	DQ855004	49.28	67.19	66.8	79.13	89.83	88.36	45.658035	61.525768	63.288258	76.005577	86.268997	83.159706	48.735561	66.371895	66.328796	81.708069	93.491982	89.748459	54.662159	74.167722	76.349652	89.657141	104.254397	98.931591
ERCC-00112	117.1875	234.375	22.494307	31.094812	32.734194	31.871444	45.725786	40.557936	DQ459422	20.82	29.59	31.96	30.31	40.8	36.3	22.452057	31.659801	31.985289	31.887123	45.546326	40.085083	24.451666	34.207638	34.505825	34.215282	49.492027	43.043892	22.324787	30.765183	32.400952	31.638642	45.424037	39.86789
ERCC-00165	58.59375	117.1875	5.583419	12.069071	17.755657	11.203647	19.873943	12.216218	DQ668363	4.98	12.02	16.06	10.15	17.65	11.4	5.125697	11.123719	15.466056	9.971106	18.554537	11.175801	5.619136	12.075986	16.076614	10.162716	20.082403	12.08936	5.543704	12.000977	17.842189	10.852728	20.373661	12.355058
ERCC-00079	58.59375	117.1875	17.598964	22.123184	18.169066	20.960654	31.662852	26.454197	DQ883652	16.47	21.02	18.1	19.46	28.51	23.29	13.830717	16.282379	13.693791	15.466046	23.441723	21.484835	14.968931	17.135813	14.885703	16.431801	25.619389	22.893177	18.056094	22.921268	18.558406	21.448189	32.888222	26.97294
ERCC-00078	29.296875	58.59375	11.995954	10.584375	11.302517	11.733495	18.628605	16.764115	DQ883673	11.13	10.08	10.91	10.5	15.66	15.05	11.62667	10.11541	10.98393	11.391212	18.114794	16.15024	12.660835	10.962936	11.818656	12.21435	19.348354	17.503139	11.933822	10.586669	11.327842	11.99007	18.226218	16.797518
ERCC-00163	14.6484375	29.296875	6.126211	4.085826	4.357088	6.860485	9.661371	12.753302	DQ668359	5.82	3.3	3.79	6.65	8.8	11.42	4.521332	2.4312	2.688888	4.556529	6.953276	8.23614	4.916558	2.662022	2.910151	4.8852	7.610408	8.598753	6.338995	4.318159	4.590773	7.101035	9.905372	12.644978
ERCC-00059	14.6484375	29.296875	2.353883	4.355744	3.89309	3.951113	7.844973	8.256244	DQ668356	2.24	4.3	3.82	3.97	7.29	7.68	1.563281	2.928302	2.472836	2.643036	5.298627	4.94669	1.724125	3.146948	2.639388	2.854699	5.60204	5.369416	2.51644	4.545176	4.056575	4.45517	8.859476	8.651588
ERCC-00160	7.32421875	14.6484375	4.133222	7.139256	5.136964	8.158718	7.177251	13.169341	DQ883658	3.88	7.04	5.0	7.78	6.31	11.09	3.448974	5.885202	3.649908	6.424831	6.019983	10.462934	3.767555	6.352812	3.961175	6.914989	6.290609	11.044909	4.257609	7.202187	5.192208	8.158778	7.135076	13.572677
ERCC-00014	3.66210938	7.32421875	0.275354	0.0	0.44803	0.476783	0.498823	0.730146	DQ875385	0.26	0.0	0.42	0.47	0.46	0.69	0.307701	0.0	0.571686	0.518235	0.546862	0.851398	0.339359	0.0	0.623589	0.564288	0.586526	0.934822	0.266309	0.0	0.432328	0.462211	0.480264	0.718618
