	Gene ID	Gene Name	flight1	flight2	flight3	ground1	ground2	ground3
32880	AT5G66250	AT5G66250	58.718796	65.264778	62.824928	30.964188	38.451389	37.400295
32881	AT5G66260	AT5G66260	0.0	0.0	0.0	0.0	0.0	0.0
32882	AT5G66270	AT5G66270	0.365281	0.647848	0.0	1.207044	0.34836	0.875469
32883	AT5G66280	GMD1	38.97617	33.271126	36.543011	38.29863	25.546745	30.630049
32884	AT5G66290	AT5G66290	26.13118	29.534061	30.913055	27.685432	30.241568	27.396902
32885	AT5G66300	NAC105	4.486357	2.17087	2.799629	2.429554	3.456731	3.288276
32886	AT5G66310	AT5G66310	7.536667	8.232428	6.709852	12.781362	10.261478	8.58803
32887	AT5G66320	GATA5	7.712681	5.763877	5.776642	12.582325	11.797403	12.888457
32888	AT5G66330	AT5G66330	4.765887	5.804465	2.721406	3.393101	2.627404	2.313473
32889	AT5G66340	AT5G66340	0.0	0.0	0.0	0.0	0.0	0.0
32890	AT5G66350	SHI	1.048276	1.075024	0.893886	1.765726	1.598383	1.225886
32891	AT5G66360	AT5G66360	7.024185	6.365647	14.428143	6.40195	8.22332	6.760087
32892	AT5G66370	AT5G66370	0.0	0.0	0.0	0.0	0.0	0.0
32893	AT5G66380	FOLT1	7.417811	10.419143	9.003307	7.373397	7.694055	6.188911
32894	AT5G66390	PER72	101.548363	51.133686	91.522148	82.189568	119.058662	126.627335
32895	AT5G66400	RAB18	1.222705	1.377404	1.642367	0.821993	0.0	0.0
32896	AT5G66410	PLP3B	32.467903	22.527618	28.319769	35.875118	27.999256	30.950722
32897	AT5G66420	AT5G66420	40.64463	44.997555	39.197006	54.750229	58.017456	55.337891
32898	AT5G66430	AT5G66430	0.0	0.0	0.0	0.0	0.0	0.0
32899	AT5G66440	AT5G66440	20.150396	18.726957	22.259907	32.09528	35.701752	28.618284
32900	AT5G66450	LPPE2	4.412203	4.464011	4.477592	4.593035	4.925916	3.591511
32901	AT5G66455	AT5G66455	3.838582	5.234992	3.930172	4.830407	6.621808	6.25724
32902	AT5G66460	MAN7	8.23436	12.992668	5.925102	30.303181	25.803207	20.853399
32903	AT5G66470	AT5G66470	7.442297	5.266045	6.039258	10.530063	7.286038	8.651418
32904	AT5G66480	AT5G66480	4.473872	3.455668	9.36923	5.294901	7.513258	8.646465
32905	AT5G66490	AT5G66490	91.789284	84.988808	110.333168	39.098869	68.579201	60.053986
32906	AT5G66500	PCMP-E38	0.895686	0.769091	0.637004	0.842172	1.658233	1.49701
32907	AT5G66510	GAMMACA3	98.252106	94.850197	111.885841	111.871811	99.037697	99.387947
