gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
AT2G16700	ADF5	67.703552	61.305874	92.414711	65.463531	95.442116	75.750595
AT2G16710	AT2G16710	34.55246	36.513554	39.683292	32.237347	35.604527	28.621717
AT2G16720	MYB7	45.912632	39.700089	44.537941	27.667288	43.047314	43.1633
AT2G16740	UBC29	31.622938	46.81514	37.721363	59.580078	57.642078	46.377373
AT2G16750	AT2G16750	30.414974	18.080593	25.64856	27.288662	40.093872	35.503723
AT2G16760	AT2G16760	12.552623	14.136086	10.960256	18.241982	16.075449	21.341372
AT2G16770	bZIP23	7.811402	6.166109	6.791028	8.611185	9.516962	9.319897
AT2G16780	MSI2	34.739223	33.072578	33.553699	52.963406	45.862259	39.714127
AT2G16790	AT2G16790	37.281765	42.447536	52.142052	34.972229	45.177197	53.436115
AT2G16800	AT2G16800	22.555691	16.929688	16.79974	15.618933	20.080055	18.102821
AT2G16850	PIP2-8	13.238919	8.154067	11.041286	17.376675	10.376267	14.201676
AT2G16860	AT2G16860	64.141441	57.060547	61.705536	64.263626	67.525673	61.126099
AT2G16870	AT2G16870	2.513762	1.25911	2.808965	2.254037	2.795259	2.643815
AT2G16880	AT2G16880	7.81579	6.748623	6.578297	8.354313	8.723844	7.241368
AT2G16890	UGT90A1	13.08496	38.477547	14.85179	69.219109	60.322029	75.627121
AT2G16895	AT2G16895	0.767724	1.440151	0.760731	4.326619	4.589114	3.892588
AT2G16900	AT2G16900	10.352119	13.55258	10.070297	14.284135	14.653056	17.345085
AT2G16910	AMS	0.0	0.0	0.0	0.0	0.0	0.0
AT2G16920	UBC23	18.031666	18.27776	18.300644	17.214882	15.772358	16.656244
AT2G16930	AT2G16930	60.526169	60.763939	57.412354	52.656349	47.696537	52.913403
AT2G16940	AT2G16940	54.496201	51.91188	47.950115	46.198471	46.027725	43.641155
AT2G16950	TRN1	47.545029	45.317181	45.272274	47.693115	43.691021	49.505108
AT2G16970	MEE15	4.187388	5.590035	3.971203	5.528717	2.722979	3.91779
AT2G16980	AT2G16980	14.365869	9.511986	11.195575	7.577306	7.359853	5.923748
AT2G16990	AT2G16990	7.719132	4.005754	3.982575	3.398596	2.379241	3.541518
AT2G17010	AT2G17010	0.514733	0.083001	0.0	0.524553	0.657415	0.484044
AT2G17020	FBL10	14.273202	16.949526	15.215465	11.979847	11.747932	12.39936
AT2G17030	SKIP23	11.806106	11.260203	13.209965	13.879453	13.053926	12.834421
AT2G17033	AT2G17033	8.379728	6.245946	6.253212	6.136497	5.872074	4.850648
AT2G17036	AT2G17036	0.0	1.456583	1.813915	0.51964	0.72696	2.033674
AT2G17040	anac036	0.0	0.0	0.0	0.060473	0.0	0.0
AT2G17043	AT2G17043	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17050	AT2G17050	0.569788	0.0	0.870646	2.040605	1.856117	2.02497
AT2G17055	AT2G17055	0.301789	0.159159	0.308685	2.888968	1.142964	1.226309
AT2G17060	AT2G17060	0.759086	0.837298	1.434979	3.353663	3.38673	4.181727
AT2G17064	AT2G17064	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17070	AT2G17070	3.470769	1.869583	2.634586	1.422173	1.672529	1.40867
AT2G17080	AT2G17080	4.184702	6.555528	4.064912	5.417167	7.394687	5.678682
AT2G17090	SSP	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17110	AT2G17110	11.516107	14.685426	13.540124	9.510963	9.967641	10.937592
AT2G17115	AT2G17115	0.0	0.0	0.0	0.0	0.0	0.0
AT2G17120	LYM2	41.765957	30.815327	27.285006	25.38069	27.847008	31.586597
AT2G17130	IDH2	67.43338	73.745445	70.882141	71.165123	62.247185	72.542519
AT2G17140	AT2G17140	1.115375	0.247198	0.568249	1.732583	2.219382	2.095459
AT2G17150	NLP1	14.756841	17.422878	18.146959	17.212818	17.432194	21.474829
AT2G17190	DSK2A	48.150318	41.822792	40.24786	43.588169	41.004547	42.729248
AT2G17200	DSK2B	84.098732	88.084923	85.3218	63.953415	67.985374	60.592022
AT2G17210	PCMP-E77	1.227005	0.0	0.0	0.0	0.578503	1.160019
AT2G17220	AT2G17220	15.811635	21.689877	18.801798	20.363617	19.434647	23.306232
AT2G17230	EXL5	5.758582	5.952062	4.059398	17.457794	15.846562	11.366443
AT2G17240	AT2G17240	25.240768	21.429857	19.942204	26.209621	25.038965	27.993704
AT2G17250	EMB2762	17.310163	18.205769	18.033964	29.836254	18.443506	22.31295
AT2G17260	GLR2	0.573981	0.947479	0.676627	1.896107	0.636985	0.749022
AT2G17265	HSK	45.180408	41.425232	59.563332	52.480061	34.374107	35.190243
AT2G17270	MPT1	3.255753	5.346745	2.86286	5.453147	4.571201	5.073712
AT2G17280	PGM	21.143862	22.945677	24.564795	33.711033	25.103458	27.743971
AT2G17290	CPK6	98.258118	99.285294	108.361183	79.764023	76.375259	90.32502
AT2G17300	AT2G17300	17.486166	20.618925	20.654442	30.356977	39.580429	39.464561
