gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT4G32040	AT4G32040.1	51.12	53.77	55.43	35.02	44.32	40.11
AT4G32050	AT4G32050.1	5.72	6.38	6.22	6.81	7.15	7.27
AT4G32060	AT4G32060.1,AT4G32060.2	67.17	70.03	77.25	56.28	63.95	52.34
AT4G32070	AT4G32070.1	34.23	37.33	33.07	31.27	27.65	32.99
AT4G32080	AT4G32080.1,AT4G32080.2	0.82	0.26	0.36	0.00	0.12	0.00
AT4G32090	AT4G32090.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32100	AT4G32100.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32105	AT4G32105.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32110	AT4G32110.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32120	AT4G32120.1	12.45	11.13	11.26	12.95	13.22	11.45
AT4G32130	AT4G32130.1	55.09	59.22	48.68	55.84	48.86	49.18
AT4G32140	AT4G32140.1	14.79	11.83	13.38	16.25	13.27	17.18
AT4G32150	AT4G32150.1	197.33	241.18	232.85	110.78	139.48	140.16
AT4G32160	AT4G32160.1	17.63	19.44	17.34	11.81	15.91	11.91
AT4G32170	AT4G32170.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32175	AT4G32175.1	9.28	6.53	6.26	13.42	9.41	8.50
AT4G32180	AT4G32180.1,AT4G32180.2,AT4G32180.3	26.67	32.36	31.44	26.21	25.76	29.75
AT4G32190	AT4G32190.1	7.77	9.84	5.67	6.57	9.18	9.19
AT4G32200	AT4G32200.1	1.09	1.06	1.19	1.25	1.77	0.51
AT4G32205	AT4G32205.1	0.00	0.00	0.00	0.00	0.00	1.73
AT4G32208	AT4G32208.1	9.40	20.76	10.65	38.14	15.60	24.78
AT4G32210	AT4G32210.1	166.15	154.95	168.57	154.82	115.80	120.09
AT4G32212	AT4G32212.1	2.22	1.44	1.45	1.68	1.08	1.00
AT4G32215	AT4G32215.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32220	AT4G32220.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32230	AT4G32230.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32240	AT4G32240.1	59.27	83.74	69.97	87.20	76.04	106.71
AT4G32250	AT4G32250.1,AT4G32250.2,AT4G32250.3	9.79	7.74	8.73	8.04	8.67	7.41
AT4G32260	AT4G32260.1	56.48	85.42	42.51	42.26	52.37	52.07
AT4G32265	AT4G32265.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32270	AT4G32270.1,AT4G32270.2	14.03	13.33	12.60	9.97	11.43	9.81
AT4G32272	AT4G32272.1,AT4G32272.2	6.65	8.03	5.79	7.57	5.49	6.87
AT4G32280	AT4G32280.1	0.00	0.75	0.00	1.19	0.00	1.04
AT4G32285	AT4G32285.1,AT4G32285.2	46.47	42.25	40.10	45.73	42.16	40.15
AT4G32290	AT4G32290.1	11.42	11.34	13.75	15.83	16.22	16.03
AT4G32295	AT4G32295.1,AT4G32295.2	4.97	3.87	4.84	5.83	4.05	4.57
AT4G32300	AT4G32300.1	8.66	7.72	9.81	6.71	9.94	8.31
AT4G32320	AT4G32320.1	3.38	3.11	6.41	2.45	4.48	3.92
AT4G32330	AT4G32330.1,AT4G32330.2,AT4G32330.3	67.67	71.64	64.90	72.39	60.52	62.75
AT4G32340	AT4G32340.1	3.48	2.28	8.42	1.51	4.51	1.58
AT4G32342	AT4G32342.1	0.00	0.00	0.00	0.46	0.00	1.18
AT4G32350	AT4G32350.1	6.65	6.77	6.09	8.66	6.54	7.03
AT4G32360	AT4G32360.1	4.13	3.36	3.13	3.13	4.89	3.74
AT4G32370	AT4G32370.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32375	AT4G32375.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32378	AT4G32378.1	0.00	0.00	0.00	0.00	0.00	0.00
AT4G32380	AT4G32380.1	0.32	0.00	0.00	0.00	0.00	0.00
