,Geneid,gene_name,SRR3655795Aligned.sortedByCoord.out.bam,SRR3655801Aligned.sortedByCoord.out.bam,SRR3655791Aligned.sortedByCoord.out.bam,SRR3655798Aligned.sortedByCoord.out.bam,SRR3655797Aligned.sortedByCoord.out.bam,SRR3655799Aligned.sortedByCoord.out.bam,SRR3655793Aligned.sortedByCoord.out.bam,SRR3655800Aligned.sortedByCoord.out.bam,SRR3655802Aligned.sortedByCoord.out.bam,SRR3655792Aligned.sortedByCoord.out.bam,SRR3655794Aligned.sortedByCoord.out.bam,SRR3655796Aligned.sortedByCoord.out.bam
20337,LOC101883059,,16,5,7,441,441,46,4,79,11,22,9,39
20338,LOC103911768,,1,4,0,10,10,19,2,49,21,0,4,4
20339,bbx,,4,2,4,8,8,8,4,21,7,12,5,12
20340,cblb,,12,36,29,26,26,22,29,53,106,88,73,41
20341,LOC110440072,,0,0,0,0,0,0,0,0,0,0,0,0
20342,LOC110440073,,0,0,0,0,0,0,0,0,1,0,0,0
20343,LOC101883380,,0,0,0,0,0,1,0,0,0,0,0,0
20344,LOC103911755,,0,0,0,0,0,0,0,0,0,0,0,0
20345,alcama,,15,87,17,180,180,82,8,193,228,49,21,46
20348,picalma,,35,26,30,13,13,27,34,45,58,55,92,69
20349,ccdc83,,1,2,0,3,3,0,3,8,4,1,4,2
20350,sytl2a,,101,153,122,48,48,110,137,299,405,314,347,235
20351,crebzf,,324,572,344,533,533,392,300,1060,1430,850,697,781
20352,tmem126a,,223,229,309,141,141,234,287,632,566,805,752,613
20353,dlg2,,80,84,69,90,90,73,45,228,160,143,112,170
20354,LOC101884045,,3,12,6,334,334,32,6,71,23,15,19,14
20355,ift46,,43,90,57,176,176,102,15,279,205,149,58,92
20356,vps11,,226,569,297,403,403,426,325,982,1330,730,869,554
20357,hyou1,,1429,1980,1152,1094,1094,1126,789,2895,5004,2981,1925,3424
20359,hist2h2l,,0,0,0,0,0,0,0,0,0,0,0,0
20360,zgc:101846,,0,0,0,0,0,0,0,0,0,1,0,0
20361,zpr1,,0,0,0,0,0,0,0,0,0,0,0,0
20362,crtam,,1,8,4,83,83,0,3,1,20,8,15,3
20363,hspa8,,209,101,115,746,746,195,55,476,288,1257,558,912
20364,si:rp71-56i13.6,,1,0,1,0,0,0,0,1,0,0,0,1
20367,ntm,,4,3,2,11,11,1,4,3,2,1,0,4
20368,opcml,,4,3,4,2,2,5,0,6,12,6,1,9
20370,pknox2,,14,38,23,18,18,37,10,79,74,44,52,40
20371,tmem218,,4,18,4,13,13,44,5,93,51,14,11,7
20372,robo4,,62,188,38,413,413,134,66,356,440,96,182,181
20373,robo3,,87,110,109,169,169,84,79,200,289,216,202,243
20375,msantd2,,17,30,13,29,29,29,5,54,53,29,21,59
20376,esama,,270,336,339,185,185,305,318,769,869,866,878,626
20377,fez1,,6,6,8,5,5,10,2,25,16,16,14,30
20378,vps26bl,,69,84,75,225,225,133,86,337,194,192,239,188
20379,foxo1b,,7,10,9,20,20,12,13,49,16,35,29,29
20380,lhfp,,81,135,99,240,240,96,95,293,350,221,278,217
20381,si:ch211-266i6.3,,11,266,4,166,166,102,31,288,752,7,71,15
20382,prkrira,,77,174,82,125,125,110,95,274,479,217,219,210
20383,si:dkey-250d21.1,,425,626,487,637,637,572,493,1450,1603,1109,1300,992
20384,wnt11r,,16,27,28,7,7,23,28,54,55,56,46,34
20385,uvrag,,40,65,38,76,76,95,44,194,160,135,119,106
20386,dgat2,,3600,635,2859,264,264,717,2209,1910,1509,7213,5457,8824
20387,mogat2,,4120,1320,4718,369,369,1823,4837,4583,3163,11544,12160,9849
20390,zbtb21,,131,107,77,273,273,97,81,240,234,199,222,371
20391,atg101,,153,300,205,209,209,274,210,726,741,518,513,411
20392,rad51c,,17,52,15,27,27,43,21,132,149,26,34,30
