,Geneid,gene_name,SRR3655795Aligned.sortedByCoord.out.bam,SRR3655801Aligned.sortedByCoord.out.bam,SRR3655791Aligned.sortedByCoord.out.bam,SRR3655798Aligned.sortedByCoord.out.bam,SRR3655797Aligned.sortedByCoord.out.bam,SRR3655799Aligned.sortedByCoord.out.bam,SRR3655793Aligned.sortedByCoord.out.bam,SRR3655800Aligned.sortedByCoord.out.bam,SRR3655802Aligned.sortedByCoord.out.bam,SRR3655792Aligned.sortedByCoord.out.bam,SRR3655794Aligned.sortedByCoord.out.bam,SRR3655796Aligned.sortedByCoord.out.bam
0,rpl24,,31032,16120,25719,12945,12945,14558,18172,35116,37569,61633,41988,72922
1,cep97,,118,124,101,62,62,93,79,231,330,286,183,319
2,nfkbiz,,203,1622,361,610,610,1158,283,2912,4086,905,699,528
3,eed,,165,239,171,241,241,186,232,445,626,388,538,402
4,hikeshi,,241,303,231,146,146,176,238,408,786,698,612,736
5,tmem39a,,571,461,442,316,316,289,318,718,1190,1141,780,1380
6,ildr1a,,30,453,71,180,180,330,67,795,1239,168,140,90
7,LOC100332762,,22,55,25,69,69,52,26,121,133,79,71,64
8,si:zfos-1011f11.1,,0,6,1,24,24,1,3,4,12,5,9,8
9,zgc:163025,,37,191,15,315,315,562,28,1451,544,43,42,124
10,f7,,5,154,2,452,452,732,2,1780,357,4,15,18
11,f7i,,0,215,1,442,442,757,2,1864,458,1,7,2
12,f10,,278,1072,157,1265,1265,2112,141,5429,2611,383,305,603
13,prozb,,1,67,0,147,147,399,1,1071,173,1,2,1
14,pcid2,,83,282,120,183,183,164,170,449,688,302,447,252
15,cul4a,,668,780,687,808,808,649,539,1772,1905,1748,1371,1632
16,zgc:64072,,327,459,309,2712,2712,599,383,1723,1423,924,1135,803
17,grtp1a,,53,76,44,131,131,125,43,352,206,100,111,114
18,adprhl1,,0,3,0,4,4,3,0,3,2,0,0,0
19,dcun1d2b,,129,307,224,358,358,498,145,1169,838,533,413,294
20,tmco3,,56,145,63,123,123,274,63,713,366,195,194,159
21,tfdp1b,,128,182,112,180,180,127,101,374,447,285,287,341
23,cenpe,,12,703,11,301,301,159,41,368,1914,26,119,37
24,tmem255b,,1,1,1,2,2,0,0,0,1,0,0,0
25,LOC108187164,,1,1,3,24,24,0,0,3,5,5,2,5
26,gas6,,146,204,109,374,374,312,103,764,482,291,237,355
27,pros1,,585,407,530,817,817,509,424,1415,1032,1308,1096,1419
28,rasa3,,112,99,151,235,235,84,155,253,264,391,347,256
29,tpp2,,134,515,107,698,698,437,135,1212,1316,272,299,284
31,zgc:92518,,0,2,1,0,0,8,0,15,2,3,0,5
32,ercc5,,103,298,211,109,109,153,147,401,734,576,344,274
33,blzf1,,310,917,545,501,501,570,287,1371,2334,1344,693,835
34,trmt10c,,208,116,245,133,133,133,220,399,274,596,510,555
35,txnl4b,,59,59,84,49,49,54,83,146,160,211,206,123
36,si:ch73-41e3.7,,1,11,4,11,11,9,0,27,31,7,1,2
37,mrpl16,,427,487,478,410,410,416,479,1203,1443,1278,1472,1224
38,cenpq,,7,44,6,53,53,21,27,55,128,17,40,13
39,LOC101885604,,5,38,7,43,43,15,24,57,89,29,48,15
41,mrpl39,,235,373,222,260,260,261,312,685,932,578,766,563
42,jam2a,,128,87,95,43,43,52,58,103,212,293,160,251
43,atp5j,,1299,2134,1206,1249,1249,1250,1329,3132,5126,3033,3253,3265
44,appa,,2145,2072,1959,2910,2910,2498,1835,6234,5167,5172,4718,5022
45,cyyr1,,81,96,44,123,123,75,47,197,338,114,145,208
46,adamts1,,42,55,25,1095,1095,846,41,2062,128,61,82,77
47,adamts5,,1,8,2,23,23,4,1,20,22,7,3,6
48,n6amt1,,94,131,111,108,108,148,86,403,304,247,230,289
49,gart,,145,264,107,130,130,270,168,657,729,330,406,340
50,LOC100332351,,70,100,92,68,68,93,53,251,261,232,106,150
51,LOC101886071,,11,11,33,4,4,3,1,1,33,83,0,39
52,donson,,4,28,1,26,26,18,15,25,64,4,28,2
53,runx1,,16,32,12,343,343,71,25,219,65,35,64,48
54,mir459,,0,0,0,0,0,0,0,1,0,1,0,0
56,LOC100333907,,10,7,16,11,11,8,6,14,26,30,14,29
57,atp1a1a.4,,21087,11230,20391,1273,1273,15698,25101,39466,28682,51111,63309,51324
58,atp1a1a.1,,16969,10586,25505,13083,13083,6977,19693,17969,26915,64017,50963,41303
60,atp1a1a.2,,84,7,71,5,5,15,135,35,9,172,309,177
61,atp1a1a.3,,9,10,74,52,52,4,20,13,14,141,25,19
62,atp1a1a.5,,35,10,7,5,5,2,13,5,21,18,15,70
63,si:ch211-132g1.3,,101,177,176,623,623,305,96,707,457,426,227,229
64,LOC103911757,,2,21,0,4,4,1,0,1,48,1,1,1
65,si:ch211-132g1.6,,24,14,25,58,58,15,26,47,43,56,58,37
66,si:ch211-132g1.4,,312,296,155,185,185,185,371,445,725,353,905,717
67,si:ch211-132g1.1,,115,93,120,161,161,105,208,304,175,314,460,322
68,si:ch211-132g1.7,,13,49,29,74,74,30,8,114,108,48,10,35
69,slc5a3a,,0,4,0,14,14,0,3,7,5,0,9,1
72,oxgr1a.2,,0,0,0,8,8,0,0,1,2,0,5,1
73,mbnl2,,406,552,454,919,919,669,438,1665,1328,1120,1106,1014
74,rap2ab,,1,1,0,4,4,13,0,18,1,2,0,0
75,kpnb3,,2483,1978,2293,1783,1783,1695,1931,4335,5139,5577,4969,6175
76,farp1,,263,356,232,330,330,443,311,1020,821,627,777,708
78,ggact.3,,84,314,56,11,11,295,14,727,750,175,42,194
79,ggact.2,,304,917,332,20,20,466,19,1040,2230,875,45,649
80,ggact.1,,784,2002,1250,146,146,1428,260,3519,4801,3218,779,1906
81,gpc6a,,4,5,8,11,11,8,7,21,10,7,13,5
82,LOC110439758,,0,1,0,0,0,0,0,0,2,0,0,0
83,gpc5a,,28,56,31,67,67,54,32,122,121,64,88,84
84,mir92a-1,,2,1,2,1,1,0,0,3,3,3,0,2
90,LOC103910100,,0,0,0,1,1,0,0,7,0,0,0,1
91,slitrk6,,28,18,45,6,6,15,8,42,43,106,20,68
92,LOC101887188,,0,0,0,0,0,0,0,0,0,1,0,1
93,slitrk1,,12,1,2,4,4,3,2,4,6,11,1,26
94,LOC101882161,,0,0,0,1,1,0,1,1,0,0,1,0
96,spry2,,292,398,229,366,366,445,292,1042,1033,696,703,742
97,ndfip2,,1723,1156,2258,2178,2178,1937,2253,5177,2840,5673,5795,4101
98,tuba8l2,,4094,5203,4337,1321,1321,5169,4264,13362,13853,10857,11339,10213
99,stk16,,40,119,61,259,259,165,65,354,299,180,167,122
100,mnx2b,,13,172,24,150,150,540,25,1310,521,61,71,30
101,atic,,272,377,161,197,197,193,237,522,881,414,535,636
102,fn1b,,2952,21644,2250,11622,11622,30224,964,75513,54349,5526,2494,7149
103,cpo,,3661,64,2212,6,6,9,2027,22,112,5427,5112,8893
104,nrp2a,,29,102,19,110,110,64,30,159,222,65,71,68
105,pard3ba,,181,431,316,234,234,450,305,1252,1092,725,804,465
106,abcb6a,,251,209,412,138,138,348,394,934,523,1046,1037,653
107,cnppd1,,500,668,503,860,860,584,482,1476,1698,1304,1168,1146
108,prkag3a,,20,11,50,1,1,24,33,73,30,107,94,57
109,retreg2,,135,148,167,264,264,245,151,636,394,382,370,298
110,mdh1b,,0,0,1,1,1,1,0,3,8,3,2,2
111,fastkd2,,382,419,409,312,312,400,350,879,1156,908,909,931
112,gtf3c3,,169,183,139,112,112,138,91,358,453,351,303,352
113,hecw2b,,78,52,68,145,145,88,42,201,157,158,117,175
114,klf7a,,7,2,7,7,7,12,4,17,5,16,6,8
115,si:ch211-93g23.2,,105,653,90,36,36,351,146,764,1559,279,396,263
116,ube2f,,269,485,240,361,361,366,283,1003,1132,576,788,584
117,erbb4a,,1,0,15,0,0,0,0,0,0,31,0,1
118,LOC108184914,,0,0,0,0,0,0,0,0,0,0,0,0
120,lancl1,,109,290,116,212,212,347,137,852,845,287,377,294
121,mylz3,,25,65,22,13,13,26,16,60,175,63,63,73
122,pcnp,,81,80,55,85,85,104,74,245,218,154,185,134
123,mxa,,72,266,60,1567,1567,345,66,879,644,162,182,191
124,mxb,,5,6,2,382,382,77,2,130,9,2,12,7
125,efnb2b,,7,17,11,27,27,14,7,25,51,35,25,35
126,arglu1b,,656,645,753,617,617,551,556,1454,1485,1930,1337,1605
127,en1b,,1,0,0,2,2,1,0,1,1,1,0,0
129,wu:fc47e11,,23,10,9,47,47,23,24,79,24,29,45,81
130,si:dkey-79f11.10,,294,4127,794,4614,4614,2406,337,6281,11454,2124,857,909
131,si:dkey-79f11.9,,0,122,66,66,66,93,0,211,268,157,0,0
132,si:dkey-79f11.7,,1051,6262,1868,6130,6130,3514,432,8609,15091,4582,1106,2640
133,si:dkey-79f11.5,,70,200,3,130,130,128,71,289,458,13,125,192
134,si:dkeyp-9d4.2,,801,5800,308,3170,3170,4084,1051,10180,13836,802,2614,1844
135,si:dkeyp-9d4.3,,27,14,21,12,12,15,6,31,45,57,12,61
136,si:dkeyp-9d4.5,,8,9,1,17,17,3,2,9,16,6,6,18
137,LOC101882918,,56,168,53,697,697,204,78,580,465,130,188,142
140,cacna1hb,,20,11,18,6,6,17,11,34,24,52,27,73
141,syngr3b,,81,161,30,302,302,136,71,332,341,70,205,202
143,alkbh5,,225,211,141,199,199,186,151,409,482,386,375,449
144,mief2,,81,92,124,116,116,44,83,137,189,287,193,237
145,smcr8b,,5,12,14,58,58,23,15,48,32,25,21,14
146,zgc:112980,,0,0,0,0,0,0,0,0,0,1,0,0
147,ptcd1,,37,40,28,83,83,40,26,98,102,95,77,98
148,LOC110439701,,37,1,1,0,0,1,0,2,0,1,1,86
149,si:ch211-160d14.9,,4,2,6,3,3,0,23,0,2,9,63,10
151,zgc:153118,,0,0,2,1,1,0,0,0,0,1,0,0
152,LOC101883376,,0,1,0,1,1,8,3,11,3,0,17,0
154,fbxl18,,11,12,11,19,19,23,38,55,42,28,68,39
155,actb1,,5270,9260,4700,18552,18552,9305,15106,23575,23164,12319,38985,13006
156,fscn1b,,2,1,5,2,2,3,14,2,2,9,40,2
157,abcg2b,,2,1,4,5,5,0,2,3,0,8,3,2
158,zgc:77849,,0,0,0,0,0,0,0,0,0,0,0,0
160,si:ch73-191k20.1,,0,0,0,2,2,0,0,0,0,0,1,0
161,socs1b,,48,461,37,144,144,237,60,624,1009,80,135,123
162,si:ch73-191k20.4,,12,19,55,52,52,34,54,80,50,133,129,20
163,LOC103911865,,0,1,1,0,0,0,0,0,1,0,0,0
164,tlr2,,6,13,1,13,13,11,7,25,25,12,23,4
165,prkcba,,1,2,0,2,2,5,1,11,10,5,3,3
167,si:ch211-14k19.8,,0,24,8,4,4,3,0,7,57,14,9,5
168,ndufab1a,,65,312,15,7,7,123,0,298,791,31,0,181
169,palb2,,4,23,5,2,2,22,32,50,78,6,89,19
170,LOC110439775,,0,0,0,0,0,0,0,1,1,0,1,1
171,zgc:152698,,0,8,1,0,0,3,0,11,14,1,3,1
172,plk1,,0,0,0,0,0,0,0,0,0,0,0,0
173,ern2,,8,26,21,13,13,32,20,99,52,62,42,18
174,chtf18,,1,30,3,13,13,18,16,48,83,6,50,8
175,gng13a,,0,0,0,0,0,0,2,1,0,0,1,0
176,si:dkeyp-57d7.4,,0,1,6,0,0,3,3,4,2,10,2,0
177,zgc:136472,,425,890,895,120,120,506,693,1325,2289,2275,1660,1018
180,LOC101883884,,0,0,0,0,0,0,0,0,0,0,0,0
181,micall2b,,350,360,622,468,468,473,580,1225,804,1539,1464,1000
182,si:ch73-12o23.1,,4135,2059,7111,1406,1406,2954,6516,7177,5011,17553,15996,10477
183,elfn1b,,1,4,55,2,2,1,1,4,0,113,4,0
184,ugt5b5,,146,108,186,34,34,155,400,487,240,332,847,256
185,ugt5b4,,506,218,550,116,116,369,1241,884,587,1522,3070,1161
186,ugt5b3,,449,269,782,61,61,156,814,444,582,1967,1931,1000
187,ugt5b2,,303,325,354,246,246,154,255,436,839,911,558,734
188,ugt5b1,,216,97,247,143,143,82,186,262,297,779,408,479
189,mad1l1,,75,208,71,182,182,138,64,372,476,214,195,189
190,pmm2,,26,183,40,327,327,152,87,394,472,105,222,67
191,zgc:56409,,60,89,53,81,81,121,54,335,280,165,166,117
192,rgs11,,10,49,11,8,8,17,13,55,123,20,38,40
193,tmem8a,,176,518,334,470,470,864,342,2168,1290,832,787,421
195,pdia2,,2165,1799,584,680,680,1280,492,3082,4414,1432,1269,5225
197,LOC101884154,,0,0,0,0,0,0,0,0,0,0,0,0
198,LOC101884122,,0,0,0,0,0,0,0,0,0,0,0,0
199,si:dkeyp-75b4.9,,51,86,41,11,11,60,89,134,209,84,221,135
200,si:dkeyp-75b4.10,,233,1119,755,207,207,866,1102,2182,2813,1814,2626,564
201,trim2b,,10,11,10,26,26,23,1,52,18,11,5,13
202,rnf175,,111,354,160,179,179,215,131,631,762,373,320,307
203,fgb,,23,6893,2,33314,33314,17877,30,44995,17120,15,81,35
204,LOC100536670,,0,5,0,54,54,18,0,45,7,0,0,0
205,fga,,11,7712,6,43305,43305,22659,22,58754,19848,13,67,33
206,lratb,,241,273,176,122,122,216,257,624,640,411,665,548
207,lratb.2,,0,0,0,3,3,0,1,0,1,1,0,0
209,npy2rl,,28,31,19,18,18,32,26,64,68,32,34,84
210,eif3f,,6106,3785,5851,3267,3267,3602,4111,8867,9380,15220,10692,15190
211,zgc:77880,,22,35,13,61,61,25,12,101,86,55,29,52
212,tmem55bb,,1,19,11,10,10,19,5,49,40,22,28,12
213,LOC557811,,0,0,0,0,0,0,0,0,0,0,0,0
214,dachb,,0,0,0,0,0,0,0,0,1,0,0,0
215,tnrc5,,0,0,0,0,0,0,0,0,0,0,0,0
217,zgc:174945,,1,13,3,14,14,0,0,7,26,20,3,3
218,si:dkey-31e10.1,,0,0,0,0,0,0,0,0,0,0,0,0
219,si:dkey-31e10.5,,5,82,18,364,364,71,8,148,191,28,14,6
220,si:dkey-31e10.6p,,16,48,24,246,246,31,11,107,112,67,44,44
221,zgc:103678,,97,347,117,170,170,337,80,894,890,347,214,235
222,atp1b1b,,9,7,11,6,6,20,6,59,17,22,11,38
225,crfb15,,55,76,33,82,82,86,42,215,192,74,100,116
226,dmd,,71,172,71,101,101,128,53,364,351,155,119,178
227,casc5,,0,51,0,45,45,23,0,55,135,1,0,4
228,knstrn,,3,158,2,69,69,49,10,139,386,2,22,7
230,si:dkey-26i13.7,,0,0,0,0,0,0,0,0,0,1,0,0
231,si:dkey-26i13.6,,0,1,0,0,0,0,1,3,3,0,2,1
232,si:dkey-26i13.5,,0,0,0,12,12,0,0,0,0,0,0,0
233,si:dkey-26i13.3,,1,0,3,12,12,0,4,2,2,0,5,1
234,si:dkey-26i13.4,,0,7,10,0,0,3,2,5,11,24,6,1
235,LOC797518,,43,43,74,188,188,81,0,175,144,168,0,77
236,brat1,,115,210,110,124,124,165,96,408,488,238,274,260
240,ttyh3b,,20,7,9,20,20,56,2,150,27,21,8,67
241,iqce,,45,79,54,45,45,79,38,215,176,124,129,103
242,snx8b,,14,8,19,1,1,2,30,9,14,48,59,19
243,grk4,,130,113,132,266,266,113,167,309,275,361,374,318
244,tspan5b,,63,57,65,358,358,111,71,264,159,166,178,163
245,slc24a2,,3,2,0,3,3,2,12,12,6,1,39,3
246,saraf,,298,466,318,466,466,563,290,1347,1295,807,848,802
247,pla2g12a,,480,582,425,287,287,677,664,1619,1418,1030,1670,1173
249,xpa,,18,72,46,86,86,73,67,196,167,112,110,58
250,mtp,,4323,3461,4002,1112,1112,2097,5361,5135,8585,10277,13668,10538
251,spink4,,1147,363,454,141,141,197,100,438,888,1217,257,2789
252,b4galt1,,58,54,21,71,71,54,36,128,119,85,65,127
253,stra6l,,1730,2674,1423,1026,1026,2096,2006,5269,6569,3611,4692,3974
255,tmod1,,33,57,30,14,14,45,17,104,137,84,67,82
256,cplx2l,,8,22,7,25,25,13,9,56,35,23,15,20
257,gne,,105,153,77,209,209,211,113,524,411,216,323,250
258,nansa,,198,336,211,237,237,285,270,767,809,492,647,501
259,clta,,97,242,103,119,119,176,131,452,598,252,334,242
260,sclt1,,0,0,0,0,0,0,0,0,0,0,0,0
261,zgc:77739,,4,17,6,7,7,8,7,19,22,17,30,6
262,LOC103911926,,0,0,0,1,1,0,0,0,0,0,0,0
263,pcdh10a,,30,58,42,32,32,33,35,91,156,94,77,75
265,si:dkeyp-106c3.2,,0,0,0,0,0,0,0,0,0,0,2,1
266,pcdh18a,,87,60,52,96,96,23,64,63,133,136,166,226
267,LOC101886760,,0,2,1,0,0,2,3,0,3,3,2,0
268,LOC101886790,,0,0,0,0,0,0,0,0,0,0,0,0
269,LOC101886839,,0,0,4,0,0,3,15,8,3,11,35,1
270,noctb,,0,0,0,0,0,0,0,0,0,0,0,0
271,elf2b,,12,16,18,31,31,12,17,44,47,52,34,44
272,mgarp,,0,0,2,0,0,1,1,1,3,3,2,2
273,hpf1,,19,30,28,14,14,34,59,107,73,78,139,43
274,ank2a,,32,6,16,20,20,10,17,47,20,44,38,87
275,LOC101887098,,0,0,0,0,0,1,0,0,0,0,0,0
276,camk2d2,,16,14,11,5,5,20,10,52,42,28,31,22
277,cxcl8a,,55,154,81,2888,2888,301,55,720,425,200,146,148
278,pde5aa,,42,19,21,70,70,22,16,45,43,27,48,77
279,ppp2r2ca,,28,2,30,2,2,5,13,4,4,65,28,41
281,crmp1,,7,0,4,2,2,1,0,9,4,22,5,8
282,LOC567498,,0,0,0,6,6,0,2,1,1,3,4,1
283,fip1l1b,,376,615,360,583,583,527,322,1402,1680,948,925,983
284,LOC553528,,19,42,33,23,23,30,28,90,90,70,84,69
285,chic2,,254,384,256,438,438,361,270,864,995,652,661,558
286,slc34a2aas,,6,0,3,1,1,1,4,7,1,7,8,12
287,slc34a2a,,29254,4073,12977,1694,1694,2037,26011,5070,10117,32697,64856,70677
288,rbpja,,451,216,151,350,350,212,184,577,601,445,434,1035
290,LOC101882365,,2,4,0,11,11,3,4,8,6,2,10,8
291,si:dkey-194g4.1,,2,2,4,3,3,2,1,8,9,5,3,9
293,LOC110439785,,0,0,0,0,0,1,0,0,0,0,0,0
294,LOC100004978,,0,0,4,0,0,2,0,0,0,1,4,3
295,LOC110437782,,34,32,13,30,30,28,43,60,67,31,103,72
298,LOC101884963,,0,0,0,0,0,0,0,0,0,0,0,0
299,LOC100005071,,0,0,0,0,0,0,0,0,0,0,0,0
300,LOC110438559,,0,0,0,0,0,0,0,0,0,0,0,0
303,LOC108189376,,0,0,0,0,0,0,0,0,0,0,0,0
304,LOC110438560,,0,0,0,0,0,0,0,0,0,0,0,0
305,LOC100330143,,0,0,0,0,0,0,0,0,0,0,0,0
306,LOC108185170,,0,0,0,0,0,0,0,0,0,0,0,0
307,LOC100537170,,0,0,0,0,0,0,0,0,0,0,0,0
310,LOC100330441,,0,0,0,0,0,0,0,0,0,0,0,0
313,pcdh7a,,140,70,48,58,58,154,21,363,151,109,56,296
314,itln1,,174,1352,564,146,146,1342,1057,3266,3286,1409,2550,397
315,hgsnat,,102,248,144,353,353,253,149,691,603,418,348,237
316,pi4k2b,,579,430,616,906,906,386,483,906,1100,1446,1095,1348
317,dlc1,,199,158,92,722,722,266,184,713,394,256,458,539
319,tusc3,,13,44,9,35,35,31,6,118,103,37,31,39
320,fgf20a,,0,0,0,0,0,0,0,0,0,0,0,0
321,micu3a,,0,0,0,0,0,0,1,2,3,1,2,3
322,LOC794952,,0,29,5,15,15,14,3,47,55,6,5,4
323,vps37a,,66,42,96,166,166,102,27,319,144,219,86,163
324,LOC110439786,,2,1,2,3,3,3,0,2,1,4,1,4
325,mtmr7b,,4,0,2,3,3,4,0,9,2,9,1,5
326,mtus1b,,185,38,123,33,33,37,29,77,71,319,66,426
327,pcm1,,77,175,79,114,114,124,81,308,352,217,222,177
328,asah1b,,339,998,380,1829,1829,1211,475,3335,2575,1063,1272,768
329,LOC103912018,,0,0,0,0,0,0,1,0,0,0,1,0
331,frg1,,154,342,162,310,310,283,184,798,914,414,484,380
332,fat1a,,13,13,16,21,21,24,14,66,41,34,36,51
333,casp3a,,0,0,0,0,0,0,0,0,0,0,0,0
334,acsl1a,,0,0,0,0,0,0,0,0,0,1,0,0
335,helt,,0,0,0,0,0,1,3,2,2,0,4,1
338,cfap97,,6,11,11,15,15,16,4,25,30,17,11,9
339,ankrd37,,0,7,4,11,11,8,3,23,8,8,9,0
340,ufsp2,,16,102,74,157,157,154,70,355,273,169,165,28
341,si:dkey-256e7.8,,0,0,2,1,1,4,0,4,1,5,0,1
342,pdlim3a,,24,32,20,2,2,9,8,51,113,47,34,66
343,sorbs2a,,9,10,6,11,11,19,8,18,21,21,12,33
344,tlr3,,0,0,0,0,0,0,0,0,0,0,0,0
345,cyp4v8,,0,0,0,0,0,0,0,0,0,0,0,0
346,LOC101885541,,0,0,0,0,0,0,0,0,0,0,0,0
347,LOC101885801,,0,0,0,0,0,0,0,0,0,0,0,0
348,LOC101885905,,0,0,0,0,0,0,0,0,0,0,0,0
349,LOC101885961,,0,0,0,1,1,0,0,0,0,0,0,0
351,klhl5,,0,1,0,0,0,0,0,1,0,0,0,0
352,si:dkey-192k22.2,,21,10,21,90,90,13,23,26,26,30,38,34
353,fam114a1,,28,76,73,82,82,72,50,188,163,168,115,61
355,klf3,,156,95,84,77,77,99,113,228,281,246,312,300
356,tbc1d1,,4,9,4,14,14,6,1,14,16,8,3,9
357,pgm2,,123,158,97,397,397,157,162,442,387,210,409,254
358,si:dkey-167i21.2,,0,0,1,0,0,0,0,0,0,0,0,0
360,LOC100535985,,1,0,0,0,0,0,1,0,0,1,2,0
361,zgc:195282,,68,70,40,135,135,54,94,138,156,141,243,178
362,rnf38,,103,230,182,559,559,232,159,658,575,469,404,290
363,LOC101886347,,1,3,1,2,2,0,2,1,0,9,2,1
364,limch1a,,17,10,10,16,16,8,8,13,25,18,20,38
365,phox2ba,,0,3,0,1,1,5,0,7,0,0,2,1
366,exosc9,,93,154,73,151,151,133,84,355,362,182,186,208
367,trnai-aau,,0,0,0,0,0,0,0,0,1,0,0,1
368,ptpn9b,,143,146,130,255,255,147,117,432,356,338,304,356
369,ptprdb,,188,104,154,226,226,89,101,233,266,345,275,408
373,rbm47,,3439,4788,3625,4035,4035,5565,4757,13576,11466,8944,11752,8126
374,lap3,,159,250,108,304,304,251,173,628,598,259,451,418
375,clockb,,102,170,104,200,200,236,122,568,417,285,289,257
377,clrn2,,0,0,0,0,0,0,0,0,0,0,0,0
379,smc2,,0,0,0,0,0,0,0,0,0,0,0,0
380,kiaa0368,,24,45,17,33,33,29,12,93,118,36,36,56
381,fbxo10,,0,0,0,0,0,0,0,0,0,0,0,0
382,polr1e,,0,0,0,0,0,0,0,0,0,0,0,0
383,tmem192,,0,0,0,0,0,0,0,0,0,0,0,0
384,apela,,0,0,0,0,0,0,0,0,0,0,0,0
385,LOC100536104,,1,0,0,0,0,0,0,0,0,0,0,0
387,tma16,,0,0,0,0,0,0,0,0,0,0,0,0
388,si:ch211-42i9.8,,3,0,2,41,41,10,2,17,3,8,7,8
389,zbtb5,,0,0,0,0,0,1,0,2,1,3,0,2
390,grhprb,,1,9,0,37,37,79,1,209,35,0,0,2
391,si:dkey-82j4.2,,3,10,4,7,7,8,1,22,17,9,7,8
392,apbb2b,,7,8,3,25,25,16,10,36,28,16,15,37
394,mettl14,,4,10,5,5,5,7,7,18,30,22,12,13
395,prss12,,0,0,0,0,0,0,0,0,0,0,0,0
396,ndst3,,0,0,2,1,1,1,0,0,2,0,1,0
397,ugt8,,83,205,125,232,232,166,166,395,432,295,337,187
398,spock3,,0,0,0,0,0,0,0,0,0,0,0,0
399,tll1,,2,2,1,5,5,4,3,12,1,4,8,5
400,cpe,,81,65,25,33,33,100,60,219,158,78,187,189
401,msmo1,,44,750,46,752,752,1237,86,2881,1912,109,182,86
402,klhl2,,0,1,5,1,1,4,4,7,11,17,3,7
403,LOC101882260,,0,0,0,1,1,0,0,0,0,0,0,0
404,si:dkey-253i9.4,,0,0,0,0,0,0,0,0,0,0,0,0
405,npy1r,,0,2,0,0,0,0,1,3,0,1,2,1
406,med28,,0,0,0,0,0,0,0,0,0,0,0,0
407,tmem144a,,0,0,0,0,0,0,0,0,0,0,0,0
408,gria2a,,0,0,0,1,1,1,0,0,0,0,0,1
410,wdr19,,4,11,5,8,8,4,2,9,30,7,8,6
411,ncapd3,,3,75,0,19,19,15,6,38,180,6,5,4
412,primpol,,0,11,2,5,5,5,1,14,41,1,5,0
413,adamtsl7,,1,10,0,31,31,3,1,5,16,3,1,2
414,zcchc7,,30,28,38,59,59,36,30,86,52,100,82,77
415,LOC103908753,,0,0,0,0,0,0,0,0,1,0,0,0
416,pax5,,1,1,2,12,12,9,3,26,2,9,5,3
417,melk,,1,91,2,35,35,37,8,69,204,6,20,8
419,kdm4c,,0,0,0,0,0,0,0,0,0,0,0,0
421,LOC110439140,,0,0,0,0,0,0,0,0,0,0,0,0
422,LOC103908754,,0,0,0,0,0,0,0,0,0,0,0,0
424,chrnb3a,,0,2,0,0,0,1,0,1,2,3,0,1
426,chrna6,,0,0,0,1,1,0,0,0,1,0,0,0
427,chrnb2a,,0,0,0,0,0,0,0,0,0,0,0,0
428,uchl1,,51,93,61,144,144,114,57,322,258,152,128,102
429,anxa5b,,172,1043,213,1766,1766,819,268,2075,2728,420,663,412
430,fgfbp1b,,0,0,0,0,0,0,0,0,0,0,0,0
431,fgfbp2b,,0,0,0,0,0,0,0,0,0,0,0,0
432,zmynd10,,0,0,0,0,0,0,0,0,0,0,0,0
434,tapt1b,,16,21,21,18,18,38,15,98,74,76,34,50
435,ldb2b,,0,2,4,1,1,0,1,7,3,0,2,2
436,qdprb1,,6,8,0,0,0,0,0,3,11,0,0,11
437,gtf2e2,,113,240,94,231,231,173,139,407,665,225,324,254
438,si:dkey-92j12.6,,0,0,0,0,0,0,0,0,0,0,0,0
439,adgrl3.1,,104,117,76,71,71,119,65,285,296,262,172,292
440,si:dkey-92j12.5,,4,6,4,4,4,14,5,38,10,16,19,11
441,rfc1,,70,225,86,159,159,185,127,441,575,217,330,187
442,rpl9,,7795,4655,6660,3667,3667,4224,4484,10462,11974,9119,11621,19020
443,lias,,0,0,0,0,0,1,0,0,0,0,0,0
444,ugdh,,0,0,0,0,0,0,0,0,0,1,0,0
445,LOC108190011,,0,0,0,0,0,0,0,0,0,0,0,0
446,smim14,,0,0,0,0,0,0,0,0,0,0,1,0
447,ube2kb,,0,0,0,0,0,0,0,0,0,0,0,0
448,pds5a,,0,0,1,0,0,0,0,0,1,1,0,0
449,LOC108190012,,0,0,0,0,0,0,0,0,0,0,0,0
450,LOC101886711,,0,0,0,0,0,0,0,0,0,0,0,0
451,n4bp2,,0,0,0,0,0,0,0,0,0,0,0,0
452,rhoh,,6,21,19,0,0,7,19,15,48,59,54,3
453,chrna9,,0,0,0,0,0,0,0,0,0,0,1,1
454,LOC101886843,,0,0,0,0,0,1,3,1,1,1,9,0
473,LOC110439258,,0,0,0,0,0,0,0,0,0,0,0,0
474,LOC110439257,,0,0,0,0,0,0,0,0,0,0,0,0
475,si:dkeyp-26a9.2,,0,0,0,0,0,0,0,0,0,0,0,0
476,fam184b,,1,0,2,0,0,0,1,1,0,2,0,3
477,ncapg,,0,13,0,0,0,2,2,4,34,0,0,2
478,lcorl,,3,5,4,0,0,0,5,3,6,2,9,0
479,LOC108190619,,0,0,0,0,0,0,0,0,0,0,0,0
480,LOC110439261,,0,0,0,0,0,0,0,0,0,0,0,1
481,slit2,,43,27,44,36,36,41,20,97,97,105,56,115
482,mir218a-2,,0,0,0,1,1,0,0,1,0,1,0,0
483,im:7138144,,267,1144,360,454,454,768,387,1905,3004,916,928,631
