,Geneid,gene_name,SRR950087,SRR950082,SRR950086,SRR950080,SRR950085,SRR950078,SRR950079,SRR950083,SRR950081,SRR950084
5780,ENSG00000136758,YME1L1,3778,8453,10539,11904,5505,14761,6062,6559,6324,17116
5781,ENSG00000120539,MASTL,283,1965,2365,2736,443,3401,517,546,479,3975
5782,ENSG00000252639,RNU2-24P,1,0,1,0,2,0,1,0,0,3
5783,ENSG00000107897,ACBD5,3233,1812,2160,2475,4524,2897,5142,5348,5373,3427
5784,ENSG00000251839,RNU7-12P,1,0,0,0,0,1,0,2,0,0
5785,ENSG00000263577,AL160291.1,0,0,1,1,2,0,1,0,0,2
5786,ENSG00000262412,RP11-85G18.6,2,5,0,5,4,6,4,5,2,7
5787,ENSG00000230445,LRRC37A6P,70,33,42,74,121,60,155,153,175,75
5788,ENSG00000238021,ARMC4P1,4,1,2,1,4,1,6,3,3,1
5789,ENSG00000200369,RNU6-666P,0,0,0,0,0,0,0,0,1,0
5790,ENSG00000215409,RP11-748L13.2,0,0,0,0,6,2,3,5,2,0
5791,ENSG00000207135,RNU6-452P,0,0,0,0,2,0,0,0,0,0
5792,ENSG00000260151,RP11-748L13.6,0,0,1,0,0,0,3,6,0,0
5793,ENSG00000213770,FAM210CP,0,0,1,5,0,1,1,0,4,5
5794,ENSG00000237956,TRIAP1P1,0,0,0,0,0,0,1,0,0,0
5795,ENSG00000182077,PTCHD3,1,1,1,0,3,1,1,2,1,2
5796,ENSG00000099246,RAB18,5446,2488,3221,3540,7256,4450,8049,9098,8596,5300
5797,ENSG00000150051,MKX,350,56,80,74,509,106,570,594,557,119
5798,ENSG00000230500,RP11-360I20.2,2,0,4,4,2,2,8,4,7,3
5799,ENSG00000169126,ARMC4,24,162,199,221,40,277,59,49,47,320
5802,ENSG00000233472,RP11-218D6.4,1,0,0,1,3,3,0,4,1,0
5804,ENSG00000150054,MPP7,986,356,428,525,1422,607,1638,1756,1605,691
5808,ENSG00000237128,RP11-351M16.3,1,0,0,1,4,0,0,0,2,1
5809,ENSG00000224439,RP11-351M16.1,0,1,1,0,0,0,0,0,0,0
5811,ENSG00000254635,WAC-AS1,1723,886,1103,1190,2330,1470,2610,2942,2723,1843
5812,ENSG00000095787,WAC,12709,6532,8600,9667,17529,11416,20606,21463,20938,13615
5815,ENSG00000207483,RNU6-1067P,0,0,0,0,0,0,0,0,0,1
5816,ENSG00000095739,BAMBI,463,4961,6079,7340,662,9037,772,834,741,10913
5817,ENSG00000236716,RP11-478H13.1,0,1,2,0,0,0,0,0,0,2
5818,ENSG00000201001,RNU6-270P,0,1,0,0,0,0,0,0,0,0
5820,ENSG00000232624,RP11-478H13.3,0,2,0,0,0,0,0,1,0,1
5821,ENSG00000271220,RP11-478H13.4,0,1,1,2,0,0,0,0,1,2
5822,ENSG00000204365,C10orf126,2,14,23,23,0,22,1,1,0,22
5823,ENSG00000199402,RNA5SP308,0,0,0,0,0,0,0,0,0,1
5824,ENSG00000229605,RP11-492M23.2,0,4,4,7,3,6,2,2,2,10
5825,ENSG00000120563,LYZL1,0,1,0,1,0,3,0,0,0,3
5826,ENSG00000224597,PTCHD3P1,836,566,634,924,1349,900,1550,1764,1671,1133
5827,ENSG00000197321,SVIL,552,2325,2874,3628,970,3721,1072,1224,1195,4336
5828,ENSG00000207612,MIR604,1,2,0,4,0,5,4,1,3,2
5829,ENSG00000212411,SNORD115,0,0,1,1,1,0,0,0,0,0
5830,ENSG00000216035,MIR938,1,0,2,1,0,3,0,0,0,2
5831,ENSG00000225976,RP11-192N10.2,0,2,0,0,0,1,0,0,1,2
5832,ENSG00000222092,RNU6-908P,0,0,0,2,0,1,0,0,0,0
5834,ENSG00000165757,KIAA1462,2346,890,1040,1274,3468,1272,4042,4177,4193,1636
5835,ENSG00000200887,RNU6-598P,0,0,2,0,0,0,0,1,0,0
5836,ENSG00000230125,EEF1A1P39,0,0,1,0,1,0,0,1,0,0
5837,ENSG00000259994,RP11-305E6.4,264,173,208,204,436,305,462,498,453,307
5838,ENSG00000107951,MTPAP,775,1827,1954,2496,1588,3209,1792,1907,1821,3838
5839,ENSG00000250833,DNM1P17,0,0,0,0,0,0,0,2,0,1
5841,ENSG00000220997,AL161651.1,0,0,0,0,0,0,0,0,0,0
5845,ENSG00000224473,RP11-449I17.5,0,2,0,0,1,0,0,0,0,1
5846,ENSG00000107968,MAP3K8,153,322,386,512,210,605,234,257,261,673
5847,ENSG00000213778,HNRNPA1P32,1,1,0,0,0,1,0,0,0,0
5848,ENSG00000228800,RP11-253D19.1,0,1,1,0,0,0,1,1,0,1
5851,ENSG00000151033,LYZL2,0,0,1,5,0,6,0,0,0,6
5853,ENSG00000234814,SVILP1,10,34,36,45,12,44,18,18,17,48
5854,ENSG00000230720,RP11-14C22.6,0,0,0,0,0,0,0,0,0,0
5855,ENSG00000183621,ZNF438,335,253,249,310,553,402,577,552,627,477
5856,ENSG00000272914,RP11-330O11.3,19,2,5,14,39,10,43,33,43,13
5857,ENSG00000237135,DDX10P1,3,1,6,1,8,9,10,4,10,7
5859,ENSG00000272381,RP11-192P3.4,4,4,1,2,10,0,14,6,7,0
5860,ENSG00000237036,ZEB1-AS1,241,355,472,536,312,640,320,389,341,743
5862,ENSG00000148516,ZEB1,3234,1709,2162,2352,4517,2875,5245,5700,5461,3264
5863,ENSG00000230397,SPTLC1P1,0,9,0,7,3,9,4,7,4,9
5864,ENSG00000196960,RP11-192P3.5,6,25,11,28,18,24,15,12,22,17
5865,ENSG00000223834,RP11-472N13.2,1,2,4,2,6,2,3,3,6,4
5867,ENSG00000237797,RP11-472N13.3,14,9,14,21,10,15,16,13,28,23
5869,ENSG00000165322,ARHGAP12,2419,1668,2076,2293,3360,2956,3772,3971,3976,3259
5870,ENSG00000231148,HMGB1P7,1,1,0,1,0,2,2,2,4,3
5871,ENSG00000230240,RP11-241I20.1,0,0,1,1,1,0,1,0,1,4
5872,ENSG00000239731,RN7SL825P,1,2,2,0,2,3,1,1,1,2
5873,ENSG00000170759,KIF5B,10735,7888,11068,11372,14026,14290,16407,17453,16440,16140
5874,ENSG00000206660,Y_RNA,0,0,0,2,1,1,1,0,1,1
5875,ENSG00000234335,RPS4XP11,2,9,12,25,5,34,10,3,4,32
5876,ENSG00000235113,RP11-241I20.4,0,0,0,0,0,1,0,1,0,2
5877,ENSG00000234811,RP11-241I20.5,0,0,0,0,0,0,0,0,0,1
5879,ENSG00000217094,PPIAP31,17,26,36,57,19,53,29,23,28,80
5880,ENSG00000233190,RPS24P13,0,0,0,0,0,0,0,0,0,2
5881,ENSG00000227253,RP11-166N17.1,12,3,3,6,18,3,23,16,19,7
5882,ENSG00000120616,EPC1,1465,985,1240,1523,2197,1878,2566,2718,2611,2082
5883,ENSG00000226842,RP11-166N17.3,1,1,0,0,3,3,4,4,6,2
5886,ENSG00000229327,RP11-135A24.2,0,1,0,0,2,2,0,4,2,4
5888,ENSG00000216937,CCDC7,90,88,115,102,146,144,175,192,181,171
5889,ENSG00000231245,C1DP1,4,9,8,10,11,14,12,5,6,14
5890,ENSG00000150076,C10ORF68,60,24,39,27,55,54,82,89,83,43
5891,ENSG00000273038,RP11-479G22.8,62,258,298,451,92,453,116,96,101,558
5892,ENSG00000150093,ITGB1,2883,13925,18677,19630,3900,24064,4465,4807,4691,27466
5893,ENSG00000228816,AK3P5,1,4,2,8,1,11,2,5,5,13
5894,ENSG00000229656,RP11-462L8.1,9,12,9,13,13,31,12,16,8,30
5896,ENSG00000265319,RN7SL847P,0,0,0,0,0,0,0,0,0,0
5898,ENSG00000235962,RP11-462L8.2,0,1,2,2,0,2,0,1,0,6
5900,ENSG00000263576,AL121748.1,0,0,0,0,0,1,0,0,0,0
5901,ENSG00000099250,NRP1,849,1998,2391,2805,1294,3598,1405,1405,1406,4110
5902,ENSG00000238258,RP11-342D11.2,0,4,0,0,0,5,0,2,0,2
5903,ENSG00000244356,RN7SL398P,0,0,0,0,0,1,1,4,0,0
5904,ENSG00000273012,RP11-90B22.1,0,1,1,3,0,2,0,0,0,2
5906,ENSG00000203565,RP13-259N13.2,3,0,0,0,2,0,7,2,1,1
5908,ENSG00000226407,RPL23P11,1,0,0,0,0,0,0,0,0,0
5910,ENSG00000148498,PARD3,547,2371,2920,3449,758,4072,905,931,929,4785
5911,ENSG00000199200,Y_RNA,0,1,0,1,0,2,0,0,0,0
5912,ENSG00000234167,TCEB2P4,0,1,1,1,0,0,0,0,0,2
5913,ENSG00000229235,RP11-8L18.3,0,5,1,7,0,5,0,2,0,6
5914,ENSG00000215184,RP11-8L18.2,0,6,2,5,1,5,1,1,0,14
5915,ENSG00000226386,PARD3-AS1,2,13,27,18,4,19,4,3,4,24
5919,ENSG00000213724,PRDX2P2,0,0,0,2,0,0,0,0,0,0
5920,ENSG00000108094,CUL2,1985,2094,2532,2843,2874,3483,3062,3477,3201,4287
5921,ENSG00000266228,MIR3611,0,0,0,1,0,0,1,1,0,1
5922,ENSG00000230534,RP11-297A16.2,3,3,2,2,7,6,12,6,14,5
5923,ENSG00000095794,CREM,794,1356,1628,2007,1152,2360,1332,1481,1367,2907
5924,ENSG00000253054,RNU7-77P,0,0,0,2,0,0,3,0,0,1
5925,ENSG00000233343,ATP6V1G1P4,1,2,0,3,6,8,3,3,3,0
5926,ENSG00000269952,RP11-324I22.3,8,22,29,33,17,37,14,17,11,38
5927,ENSG00000233200,RP11-324I22.2,6,1,0,4,8,1,8,4,6,2
5928,ENSG00000253070,RNU6-794P,0,0,0,0,0,0,2,0,0,0
5929,ENSG00000108100,CCNY,3889,3710,4462,5393,5937,6058,7008,7228,7123,7211
5931,ENSG00000271335,RP11-324I22.4,113,132,168,220,195,232,172,183,167,310
5932,ENSG00000177291,GJD4,21,2,1,1,23,6,17,24,28,0
5933,ENSG00000273312,RP11-425A6.5,7,2,3,0,21,3,16,19,16,5
5934,ENSG00000177283,FZD8,180,529,799,775,182,781,215,239,217,1004
5935,ENSG00000264780,MIR4683,0,0,0,0,0,0,0,0,0,0
5936,ENSG00000226646,RPL7P37,0,1,2,3,0,1,0,0,0,2
5937,ENSG00000227313,RP11-309N24.1,0,0,0,1,0,0,0,0,0,1
5942,ENSG00000229644,NAMPTL,13,54,59,82,17,100,26,23,25,100
