	gene_id	gene_name	flight1	flight2	flight3	ground1	ground2	ground3
13471	AT3G22420	WNK2	1.153659	1.637407	0.571514	1.036315	2.395231	1.565375
13472	AT3G22425	HISN5A	18.828489	16.121996	16.126751	21.683283	14.305924	16.637482
13473	AT3G22430	AT3G22430	10.207499	8.614011	9.384882	6.49404	7.85063	9.435362
13474	AT3G22436	AT3G22436	0.0	0.0	0.0	0.0	0.0	0.0
13475	AT3G22440	FRL4A	459.533569	421.926697	389.003754	197.012817	257.257507	220.055328
13476	AT3G22450	AT3G22450	0.758891	0.783297	1.927077	1.999749	0.821679	0.896202
13477	AT3G22460	OASA2	19.716436	21.932814	24.981764	9.570415	18.713604	18.721724
13478	AT3G22470	AT3G22470	3.990436	2.348722	4.68246	4.335171	3.82471	3.913765
13479	AT3G22480	PDF2	46.589527	36.496574	45.537514	52.353138	44.349258	52.358734
13480	AT3G22490	AT3G22490	0.0	0.0	0.0	0.0	0.0	0.0
13481	AT3G22492	AT3G22492	0.0	0.0	0.0	0.0	0.0	0.0
13482	AT3G22500	ATECP31	0.0	0.0	0.0	0.0	0.0	0.0
13483	AT3G22510	AT3G22510	0.0	0.0	0.0	0.0	0.0	0.0
13484	AT3G22520	AT3G22520	23.787441	27.593801	20.848982	21.864611	24.663067	21.381296
13485	AT3G22530	AT3G22530	35.752926	41.323994	54.215874	36.844276	40.50536	47.394897
13486	AT3G22540	AT3G22540	7.612967	11.782299	14.15671	18.65995	15.11177	11.646299
13487	AT3G22550	AT3G22550	10.580887	13.655551	8.758908	21.690123	11.068667	18.370459
13488	AT3G22555	AT3G22555	0.0	0.0	0.0	0.0	0.0	0.0
13489	AT3G22560	AT3G22560	0.904526	0.923923	0.679831	1.501935	1.045112	1.878957
13490	AT3G22570	AT3G22570	21.321606	12.096286	15.093349	17.046579	12.840609	18.798046
13491	AT3G22580	AT3G22580	0.72181	0.262956	0.0	0.0	1.03431	0.0
13492	AT3G22590	CDC37	14.611328	16.864141	19.365225	21.806234	19.251886	23.052879
13493	AT3G22600	AT3G22600	303.957458	318.125031	248.35997	285.631836	288.768799	437.250061
13494	AT3G22620	AT3G22620	208.993073	181.304169	148.119873	193.003082	180.863541	286.000793
13495	AT3G22630	PBD1	61.927799	67.56485	65.658646	67.804909	56.042011	54.593578
13496	AT3G22640	PAP85	0.0	0.0	0.0	0.0	0.0	0.0
13497	AT3G22650	ATSFL61	0.0	0.0	0.0	0.0	0.0	0.0
13498	AT3G22660	AT3G22660	37.317226	31.029892	30.962484	53.517021	31.864637	37.753681
13499	AT3G22670	AT3G22670	2.20832	3.26173	2.223409	3.846973	3.639989	2.236306
13500	AT3G22680	RDM1	9.389936	11.147743	11.878281	12.830002	12.855386	15.796814
13501	AT3G22690	PCMP-H56	0.0	0.34299	0.892866	1.413179	1.098538	1.104673
13502	AT3G22700	AT3G22700	0.017862	0.0	0.0	0.0	0.0	0.0
13503	AT3G22710	AT3G22710	0.0	0.0	0.0	0.0	0.0	0.0
13504	AT3G22720	AT3G22720	0.0	0.0	0.0	0.0	0.0	0.0
13505	AT3G22723	AT3G22723	0.0	0.0	0.0	0.0	0.0	0.0
13506	AT3G22730	AT3G22730	0.0	0.0	0.0	0.0	0.0	0.0
13507	AT3G22740	HMT3	2.660825	0.732316	3.416029	0.953296	1.647824	0.644517
13508	AT3G22750	AT3G22750	39.326073	39.895531	39.383396	24.298016	29.64472	29.436081
13509	AT3G22760	TCX3	1.629642	1.075677	1.631277	2.17516	1.768721	1.217737
13510	AT3G22770	AT3G22770	0.0	0.0	0.0	0.0	0.0	0.29052
13511	AT3G22780	TSO1	15.819655	15.636165	16.869293	22.382753	18.755857	17.746346
