gene_id	transcript_id(s)	flight1	flight2	flight3	ground1	ground2	ground3
AT2G17787	AT2G17787.1	631.00	504.00	523.00	381.00	291.00	200.00
AT2G17790	AT2G17790.1	2876.00	2885.00	2062.00	3717.00	1981.00	2785.00
AT2G17800	AT2G17800.1,AT2G17800.2	1066.00	747.00	891.00	1426.00	838.00	1177.00
AT2G17810	AT2G17810.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G17820	AT2G17820.1	4442.00	3607.00	3300.00	2839.00	1905.00	2348.00
AT2G17830	AT2G17830.1	109.00	138.00	60.00	142.00	114.00	174.00
AT2G17840	AT2G17840.1	3781.00	2936.00	3254.00	3445.00	3196.00	3953.00
AT2G17845	AT2G17845.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G17850	AT2G17850.1	0.00	0.00	11.00	18.00	4.00	0.00
AT2G17860	AT2G17860.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G17870	AT2G17870.1	1727.00	1341.00	1400.00	1905.00	1159.00	1443.00
AT2G17880	AT2G17880.1	355.00	290.00	366.00	75.00	57.00	71.00
AT2G17890	AT2G17890.1	82.00	68.00	84.00	34.00	35.00	38.00
AT2G17900	AT2G17900.1	507.00	289.00	251.00	364.00	301.00	254.00
AT2G17910	AT2G17910.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G17920	AT2G17920.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G17930	AT2G17930.1	7608.00	6481.00	5659.00	5580.00	4787.00	4956.00
AT2G17940	AT2G17940.1	119.00	93.00	127.00	177.00	133.00	167.00
AT2G17950	AT2G17950.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G17960	AT2G17960.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G17970	AT2G17970.1,AT2G17970.2,AT2G17970.3	416.00	311.00	317.00	436.00	353.00	462.00
AT2G17972	AT2G17972.1	49.00	143.00	54.70	166.65	100.01	81.00
AT2G17975	AT2G17975.1	390.00	307.00	362.30	333.35	292.99	313.00
AT2G17980	AT2G17980.1	4036.00	3253.00	3270.00	3895.00	2277.00	3412.00
AT2G17990	AT2G17990.1	3790.00	2995.00	3232.00	3365.00	2391.00	2659.00
AT2G18000	AT2G18000.1,AT2G18000.2	68.00	64.00	136.00	149.00	116.00	77.00
AT2G18010	AT2G18010.1	23.00	0.00	0.00	0.00	0.00	0.00
AT2G18020	AT2G18020.1	26649.00	20862.00	24358.00	37457.00	17831.00	25497.00
AT2G18030	AT2G18030.1,AT2G18030.2	514.00	699.00	843.00	982.00	526.00	759.00
AT2G18040	AT2G18040.1	4673.00	4360.00	4561.00	6775.00	3832.00	5979.00
AT2G18042	AT2G18042.1	0.00	0.00	13.00	0.00	0.00	0.00
AT2G18050	AT2G18050.1,AT2G18050.2	2668.00	4741.00	1666.00	308.00	453.00	690.00
AT2G18060	AT2G18060.1	36.00	67.00	122.00	44.00	82.00	53.00
AT2G18070	AT2G18070.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18080	AT2G18080.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18090	AT2G18090.1	2481.00	2441.00	1822.00	2074.00	1543.00	2196.00
AT2G18100	AT2G18100.1	335.00	243.00	167.00	169.00	230.00	164.00
AT2G18110	AT2G18110.1	4378.00	4024.00	4388.00	5086.00	2806.00	3560.00
AT2G18115	AT2G18115.1	1.00	0.00	0.00	0.00	0.00	0.00
AT2G18120	AT2G18120.1	6.00	14.00	0.00	14.00	14.00	7.00
AT2G18130	AT2G18130.1	4.00	0.00	2.00	0.00	0.00	0.00
AT2G18140	AT2G18140.1	12.13	20.92	26.30	52.58	76.72	43.82
AT2G18150	AT2G18150.1	1737.87	3013.08	1396.70	10519.42	8649.28	9326.18
AT2G18160	AT2G18160.1	2634.00	3131.50	2586.00	4447.50	2298.00	3996.50
AT2G18162	AT2G18162.1	2634.00	3131.50	2586.00	4447.50	2298.00	3996.50
AT2G18170	AT2G18170.1	1109.00	635.00	895.00	874.00	715.00	974.00
AT2G18180	AT2G18180.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18190	AT2G18190.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18193	AT2G18193.1	830.00	653.00	911.00	1166.00	625.00	897.00
AT2G18196	AT2G18196.1	1798.00	1405.00	1662.00	735.00	580.00	657.00
AT2G18200	AT2G18200.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18210	AT2G18210.1	372.00	262.00	376.00	277.00	312.00	358.00
AT2G18220	AT2G18220.1	1783.00	1139.00	1029.00	2409.00	1000.00	1296.00
AT2G18230	AT2G18230.1	850.00	883.00	888.00	1493.00	760.00	965.00
AT2G18240	AT2G18240.1,AT2G18240.2	485.00	807.00	729.00	778.00	501.00	569.00
AT2G18245	AT2G18245.1	395.00	268.00	380.00	590.00	288.00	436.00
AT2G18250	AT2G18250.1	780.00	584.00	786.00	710.00	516.00	726.00
AT2G18260	AT2G18260.1	16.00	46.00	37.00	37.00	2.00	23.00
AT2G18270	AT2G18270.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18280	AT2G18280.1,AT2G18280.2	6482.00	6144.00	5851.30	2163.00	2590.76	2727.03
AT2G18290	AT2G18290.1	357.00	429.00	611.70	654.00	376.24	998.97
AT2G18300	AT2G18300.1,AT2G18300.2,AT2G18300.3	86.00	79.00	47.00	22.00	80.00	93.00
AT2G18310	AT2G18310.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18320	AT2G18320.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18323	AT2G18323.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18328	AT2G18328.1	0.00	0.00	6.00	20.00	0.00	0.00
AT2G18330	AT2G18330.1	1208.00	845.00	797.00	2119.00	865.00	1366.00
AT2G18340	AT2G18340.1,AT2G18340.2	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18350	AT2G18350.1	90.00	75.00	91.00	91.00	98.00	71.00
AT2G18360	AT2G18360.1	365.00	366.00	533.00	896.00	390.00	599.00
AT2G18370	AT2G18370.1	1382.00	1087.00	1485.00	2003.00	1800.00	1971.00
AT2G18380	AT2G18380.1	152.00	128.00	138.00	163.00	142.00	93.00
AT2G18390	AT2G18390.1	1975.00	1930.00	1815.00	1947.00	1518.00	1698.00
AT2G18400	AT2G18400.1	1353.00	1016.00	1102.00	1944.00	955.00	1437.00
AT2G18410	AT2G18410.1,AT2G18410.2	516.00	597.00	445.00	836.00	466.00	726.00
AT2G18420	AT2G18420.1	0.00	0.00	0.00	0.00	0.00	4.00
AT2G18440	AT2G18440.1,AT2G18440.2	6731.00	5470.00	5749.00	3317.00	3423.00	3908.00
AT2G18450	AT2G18450.1	418.00	305.00	525.00	438.00	359.00	534.00
AT2G18460	AT2G18460.1	0.00	0.00	0.00	8.00	0.00	0.00
AT2G18465	AT2G18465.1	345.00	476.00	382.00	375.00	415.00	471.00
AT2G18470	AT2G18470.1	176.00	182.00	236.00	918.00	756.00	805.00
AT2G18480	AT2G18480.1	451.00	87.00	72.00	153.00	299.00	273.00
AT2G18490	AT2G18490.1	0.00	0.00	0.00	5.00	0.00	0.00
AT2G18500	AT2G18500.1	447.00	365.00	405.00	594.00	561.00	572.00
AT2G18510	AT2G18510.1	1434.00	1435.00	1152.00	2612.00	1300.00	1847.00
AT2G18520	AT2G18520.1	315.00	270.00	188.00	590.00	198.00	371.00
AT2G18530	AT2G18530.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18540	AT2G18540.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18550	AT2G18550.1	20.00	219.00	97.00	22.00	41.00	63.00
AT2G18560	AT2G18560.1	1046.00	1266.00	757.00	926.00	670.00	712.00
AT2G18570	AT2G18570.1	2527.00	2389.00	2066.00	2594.00	1724.00	2079.00
AT2G18580	AT2G18580.1	0.00	9.00	0.00	0.00	0.00	0.00
AT2G18590	AT2G18590.1	67.00	67.00	36.00	55.00	58.00	86.00
AT2G18600	AT2G18600.1	333.00	452.00	414.00	366.00	281.00	331.00
AT2G18610	AT2G18610.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18620	AT2G18620.1	79.00	87.00	78.00	382.00	276.00	270.00
AT2G18630	AT2G18630.1	1431.00	1285.00	1019.00	1768.00	1147.00	1527.00
AT2G18640	AT2G18640.1	67.00	40.00	106.00	29.00	24.00	14.00
AT2G18650	AT2G18650.1	196.00	79.00	115.00	112.00	75.00	120.00
AT2G18660	AT2G18660.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18670	AT2G18670.1	526.00	168.00	345.00	203.00	128.00	156.00
AT2G18680	AT2G18680.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18690	AT2G18690.1,AT2G18690.2	1089.00	1340.00	1115.00	554.00	546.00	785.00
AT2G18700	AT2G18700.1	9114.00	7938.00	8665.00	1062.00	2629.00	2577.00
AT2G18710	AT2G18710.1	1782.00	1489.00	1382.00	865.00	809.00	1081.00
AT2G18720	AT2G18720.1	0.00	0.00	4.00	38.00	22.00	18.00
AT2G18721	AT2G18721.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18730	AT2G18730.1	1882.00	1727.00	1691.00	2668.00	1550.00	2472.00
AT2G18735	AT2G18735.1	331.00	300.00	389.00	126.00	168.00	179.00
AT2G18740	AT2G18740.1,AT2G18740.2	1566.00	1408.00	1753.00	2580.00	1641.00	2213.00
AT2G18750	AT2G18750.1,AT2G18750.2,AT2G18750.3	9892.00	6854.00	8940.00	4461.00	3900.00	4471.00
AT2G18760	AT2G18760.1	1038.00	932.00	679.00	846.00	691.00	759.00
AT2G18770	AT2G18770.1	817.00	589.00	629.00	569.00	455.00	531.00
AT2G18780	AT2G18780.1	111.00	160.00	101.00	130.00	81.00	205.00
AT2G18790	AT2G18790.1	3287.00	3499.00	2289.00	4831.00	3097.00	4139.00
AT2G18800	AT2G18800.1	1331.00	1218.00	1447.00	799.00	508.00	868.00
AT2G18810	AT2G18810.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18820	AT2G18820.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18830	AT2G18830.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18840	AT2G18840.1	1292.00	1031.00	779.00	1218.00	616.00	742.00
AT2G18850	AT2G18850.1,AT2G18850.2	521.00	354.00	279.00	527.00	335.00	454.00
AT2G18860	AT2G18860.1,AT2G18860.2	971.00	1036.00	1069.00	1088.00	765.00	901.00
AT2G18870	AT2G18870.1	0.00	35.00	0.00	14.00	0.00	0.00
AT2G18876	AT2G18876.1,AT2G18876.2	1231.00	1118.00	1139.00	1062.00	793.00	935.00
AT2G18880	AT2G18880.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18890	AT2G18890.1,AT2G18890.2	606.00	645.00	703.00	575.00	429.00	603.00
AT2G18900	AT2G18900.1	1168.00	912.00	955.00	2264.00	875.00	1273.00
AT2G18910	AT2G18910.1	570.00	394.00	413.00	789.00	405.00	751.00
AT2G18915	AT2G18915.1,AT2G18915.2	1262.73	947.37	1209.45	850.49	717.56	752.95
AT2G18917	AT2G18917.1	111.27	112.63	133.55	63.51	26.44	33.05
AT2G18920	AT2G18920.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18930	AT2G18930.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G18938	AT2G18938.1	30.00	13.00	16.00	6.00	25.00	1.00
AT2G18940	AT2G18940.1	931.00	951.00	700.00	964.00	459.00	617.00
AT2G18950	AT2G18950.1	316.00	278.00	210.00	503.00	290.00	433.00
AT2G18960	AT2G18960.1	29083.00	29998.00	24058.00	28705.00	19002.00	24203.00
AT2G18969	AT2G18969.1	29.72	79.85	0.00	29.25	32.39	32.00
AT2G18970	AT2G18970.1	12.28	2.15	0.00	21.75	4.61	0.00
AT2G18980	AT2G18980.1	5088.00	3277.00	3804.00	5460.00	2416.00	4093.00
AT2G18990	AT2G18990.1	965.00	806.00	722.00	1792.00	1047.00	1315.00
AT2G19000	AT2G19000.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19010	AT2G19010.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19020	AT2G19020.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19030	AT2G19030.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19040	AT2G19040.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19045	AT2G19045.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19050	AT2G19050.1	231.00	150.00	199.00	196.00	132.00	165.00
AT2G19060	AT2G19060.1	1927.00	2290.00	2572.00	2470.00	1171.00	2264.00
AT2G19070	AT2G19070.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19080	AT2G19080.1	2023.00	1899.00	1522.00	2227.00	1271.00	1886.00
AT2G19090	AT2G19090.1	357.00	388.00	324.00	585.00	382.00	429.00
AT2G19100	AT2G19100.1	16.00	0.00	0.00	0.00	0.00	0.00
AT2G19110	AT2G19110.1	15560.00	8345.00	11182.00	5747.00	4700.00	6642.00
AT2G19120	AT2G19120.1	249.00	165.00	189.00	427.00	272.00	348.00
AT2G19130	AT2G19130.1	875.00	1052.00	1138.00	1113.00	853.00	1035.00
AT2G19140	AT2G19140.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19146	AT2G19146.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19150	AT2G19150.1	73.00	98.00	8.00	120.00	126.00	70.00
AT2G19160	AT2G19160.1	1625.00	1567.00	1588.00	2130.00	998.00	2128.00
AT2G19170	AT2G19170.1	559.00	525.00	444.00	1286.00	555.00	670.00
AT2G19180	AT2G19180.1	1275.00	1329.00	1553.00	992.00	846.00	1090.00
AT2G19190	AT2G19190.1	116.00	200.00	75.00	132.00	64.00	88.00
AT2G19200	AT2G19200.1	254.00	238.00	84.00	287.00	146.00	234.00
AT2G19210	AT2G19210.1	146.00	113.00	140.00	93.00	35.00	94.00
AT2G19220	AT2G19220.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19230	AT2G19230.1	0.00	15.00	12.00	47.00	0.00	9.00
AT2G19240	AT2G19240.1	265.00	57.00	41.00	186.00	106.00	177.00
AT2G19250	AT2G19250.1	84.00	54.00	107.00	95.00	53.00	119.00
AT2G19260	AT2G19260.1	550.00	267.00	365.00	508.00	282.00	383.00
AT2G19270	AT2G19270.1	1832.00	1827.00	1568.00	1534.00	1216.00	1468.00
AT2G19280	AT2G19280.1,AT2G19280.2	272.00	375.00	227.00	419.00	187.00	278.00
AT2G19290	AT2G19290.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19300	AT2G19300.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19310	AT2G19310.1	347.00	703.00	344.00	817.00	354.00	902.00
AT2G19320	AT2G19320.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19330	AT2G19330.1	20.62	0.00	15.30	0.00	0.00	0.00
AT2G19340	AT2G19340.1,AT2G19340.2	473.38	352.00	473.70	375.00	288.00	288.00
AT2G19350	AT2G19350.1	591.00	563.00	626.00	286.00	289.00	359.00
AT2G19360	AT2G19360.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19380	AT2G19380.1	254.00	204.00	134.00	310.00	153.00	234.00
AT2G19385	AT2G19385.1	1071.00	630.00	958.00	1355.00	829.00	1105.00
AT2G19390	AT2G19390.1	761.00	791.00	522.00	866.00	605.00	753.00
AT2G19400	AT2G19400.1	47.00	83.00	157.00	89.00	148.00	80.00
AT2G19410	AT2G19410.1	318.00	192.00	407.00	373.00	173.00	358.00
AT2G19420	AT2G19420.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19425	AT2G19425.1	0.00	0.00	0.00	0.00	0.00	0.00
AT2G19430	AT2G19430.1	899.00	771.00	1060.00	1046.00	806.00	1119.00
AT2G19440	AT2G19440.1	61.00	80.00	77.00	130.00	28.00	63.00
AT2G19450	AT2G19450.1	1871.00	1165.00	1423.00	2410.00	1865.00	1954.00
AT2G19460	AT2G19460.1	407.00	484.00	345.00	365.00	236.00	288.00
