task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
102	a0/d7af5b	1545374	dupradar (SRR950078_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2021-09-24 21:12:43.637	16m 30s	16m 26s	181.5%	456.6 MB	875.6 MB	67.8 GB	12.3 GB
82	9b/eedac4	1545354	markDuplicates (SRR950083_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 20:13:33.436	1h 19m 35s	1h 19m 16s	112.7%	6.9 GB	14.1 GB	47.5 GB	17.1 GB
88	e3/2460cb	1545361	markDuplicates (SRR950081_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 20:18:58.508	1h 18m 45s	1h 18m 25s	111.6%	6.9 GB	14.1 GB	48.2 GB	17.4 GB
103	71/da9fbd	1545375	dupradar (SRR950079_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2021-09-24 21:23:58.988	19m 25s	19m 18s	175.3%	485.8 MB	1016.7 MB	82.2 GB	21.2 GB
58	cc/59edd2	1545330	rseqc (SRR950080_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:40:17.680	2h 9m 31s	2h 9m 30s	96.8%	22.4 GB	22.8 GB	63.8 GB	153.6 MB
61	d9/83f7d7	1545338	rseqc (SRR950085_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:42:58.908	2h 7m 55s	2h 7m 51s	97.3%	23.4 GB	23.8 GB	65.2 GB	151.5 MB
104	3f/7d0ec9	1545376	dupradar (SRR950083_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2021-09-24 21:33:08.854	20m 10s	20m 7s	174.3%	482.5 MB	1008.3 MB	86.8 GB	23.4 GB
105	bc/b933e2	1545377	dupradar (SRR950081_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2021-09-24 21:37:44.061	20m 45s	20m 39s	173.1%	501.5 MB	1010.8 MB	89.5 GB	24.9 GB
93	df/f6ff73	1545364	markDuplicates (SRR950084_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 20:36:58.431	1h 27m 25s	1h 27m 7s	113.0%	6.6 GB	14 GB	53 GB	19 GB
70	d9/a6b6b0	1545341	rseqc (SRR950078_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 19:56:48.283	2h 22m 6s	2h 22m	96.7%	23.3 GB	23.7 GB	70 GB	149.8 MB
106	0c/0f9685	1545378	dupradar (SRR950084_1Aligned.sortedByCoord.out.markDups)	COMPLETED	0	2021-09-24 22:04:24.032	21m 30s	21m 28s	176.9%	500 MB	1016.7 MB	90 GB	20.9 GB
74	a0/516c54	1545349	rseqc (SRR950079_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 20:07:09.340	2h 24m 30s	2h 24m 24s	97.6%	29.1 GB	29.5 GB	74.5 GB	155.2 MB
83	89/414cce	1545355	rseqc (SRR950083_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 20:13:33.494	2h 30m 26s	2h 30m 20s	97.7%	29.1 GB	29.4 GB	76.8 GB	153.7 MB
89	96/126703	1545360	rseqc (SRR950081_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 20:18:58.439	2h 29m 36s	2h 29m 27s	97.3%	29.1 GB	29.4 GB	78 GB	158.1 MB
92	8a/3e991b	1545367	rseqc (SRR950084_1AlignedByCoord.out)	COMPLETED	0	2021-09-24 20:36:58.651	2h 44m 56s	2h 44m 49s	98.2%	29.2 GB	29.6 GB	85.6 GB	162.9 MB
107	51/c2f8dd	1545379	multiqc	COMPLETED	0	2021-09-24 23:21:54.580	2m 15s	1m 23s	148.9%	173.6 MB	399.3 MB	1.5 GB	22.4 MB
