task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
56	85/7a5834	1558996	hisat2_sortOutput (SRR950080_1)	COMPLETED	0	2021-09-28 17:06:00.534	9m 50s	9m 36s	335.5%	24.8 GB	26.2 GB	37.7 GB	22.2 GB
57	42/975df1	1559001	hisat2_sortOutput (SRR950085_1)	COMPLETED	0	2021-09-28 17:06:55.606	10m 40s	10m 21s	330.1%	24.8 GB	26.2 GB	38.4 GB	22.6 GB
12	9f/fb3e76	1556701	trim_galore (SRR950084)	COMPLETED	0	2021-09-28 14:16:59.333	3h 1m 31s	2h 59m 56s	181.6%	256.7 MB	3 GB	379.6 GB	358.1 GB
52	9e/ce52d7	1558893	hisat2Align (SRR950078)	COMPLETED	0	2021-09-28 16:48:35.441	34m 50s	34m 26s	892.9%	4.3 GB	5.1 GB	114.9 GB	80.7 GB
62	98/4d9d0d	1559085	qualimap (SRR950080_1.sorted)	COMPLETED	0	2021-09-28 17:15:50.668	8m 25s	8m 19s	88.8%	11.1 GB	19.5 GB	11.1 GB	339.9 KB
64	60/8aa824	1559106	qualimap (SRR950085_1.sorted)	COMPLETED	0	2021-09-28 17:17:35.727	7m 25s	7m 21s	99.2%	11.3 GB	19.5 GB	11.4 GB	341.7 KB
63	ed/bb645e	1559087	stringtieFPKM (SRR950080_1)	COMPLETED	0	2021-09-28 17:15:50.732	13m 20s	13m 17s	95.9%	1.2 GB	1.2 GB	11.2 GB	619.9 MB
68	5f/bc7a38	1559109	stringtieFPKM (SRR950085_1)	COMPLETED	0	2021-09-28 17:17:35.800	12m 20s	12m 18s	103.9%	1.9 GB	1.9 GB	11.6 GB	619.8 MB
53	42/a5b08e	1558951	hisat2Align (SRR950079)	COMPLETED	0	2021-09-28 16:55:55.554	34m 15s	33m 46s	881.3%	4.3 GB	5 GB	121 GB	84.5 GB
71	be/cf04ff	1559130	hisat2_sortOutput (SRR950078_1)	COMPLETED	0	2021-09-28 17:23:25.740	11m 15s	10m 58s	331.5%	24.8 GB	26.2 GB	40.1 GB	23.1 GB
49	6f/25f9cf	1558817	featureCounts (SRR950086_1)	COMPLETED	0	2021-09-28 16:40:35.527	54m 25s	54m 19s	98.2%	308.9 MB	486.6 MB	115.9 GB	75.8 GB
33	48/e988d7	1558611	rseqc (SRR950087_1)	COMPLETED	0	2021-09-28 16:12:00.004	1h 24m 16s	1h 24m 13s	94.7%	17.9 GB	18.3 GB	35.7 GB	140 MB
54	66/2a1966	1558982	hisat2Align (SRR950083)	COMPLETED	0	2021-09-28 17:02:45.804	36m 45s	36m 20s	895.8%	4.3 GB	5 GB	124.8 GB	87.4 GB
55	36/e9597b	1558988	hisat2Align (SRR950081)	COMPLETED	0	2021-09-28 17:04:20.633	37m 15s	36m 49s	847.9%	4.4 GB	5 GB	125.4 GB	87.9 GB
74	bd/05029d	1559568	qualimap (SRR950078_1.sorted)	COMPLETED	0	2021-09-28 17:34:40.886	8m 25s	7m 34s	100.9%	9.5 GB	19.5 GB	12 GB	340.2 KB
72	57/d2228b	1559388	hisat2_sortOutput (SRR950079_1)	COMPLETED	0	2021-09-28 17:30:10.940	15m 10s	11m 31s	327.6%	24.8 GB	26.2 GB	42.1 GB	24 GB
40	ad/6c9aed	1558663	rseqc (SRR950082_1)	COMPLETED	0	2021-09-28 16:19:55.213	1h 25m 31s	1h 25m 25s	93.7%	17.1 GB	17.4 GB	35.4 GB	137.1 MB
