task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
83	69/6effa0	687505	stringtieFPKM (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-10 09:55:49.583	48.5s	41.5s	111.9%	367.3 MB	461.9 MB	1.3 GB	339.5 MB
80	10/bc0d21	687504	qualimap (SRX1836011_SRR3655799.sorted)	COMPLETED	0	2023-01-10 09:55:49.422	1m 9s	1m 3s	112.5%	10 GB	19.3 GB	1.2 GB	544.3 KB
42	50/a6ad0b	687466	markDuplicates (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-10 09:54:23.365	2m 40s	2m 34s	103.1%	4.2 GB	11.4 GB	1.9 GB	647.7 MB
50	f8/77e86c	687470	markDuplicates (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-10 09:54:23.843	2m 39s	2m 35s	107.1%	4.3 GB	11.4 GB	1.8 GB	608.7 MB
55	6a/6e78e6	687476	markDuplicates (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-10 09:54:28.244	2m 40s	2m 34s	103.3%	4.3 GB	11.4 GB	1.9 GB	648.6 MB
82	f1/7908ca	687502	preseq (SRX1836011_SRR3655799)	COMPLETED	0	2023-01-10 09:55:49.258	1m 29s	1m 24s	99.3%	11.2 MB	97.8 MB	636.6 MB	455.7 KB
17	0c/ff7684	687345	trim_galore (SRX1836008_SRR3655794)	COMPLETED	0	2023-01-10 09:44:03.428	13m 20s	13m 10s	153.5%	230.4 MB	3 GB	26.3 GB	24.6 GB
66	bb/7d5dcc	687484	markDuplicates (SRX1836007_SRR3655791)	COMPLETED	0	2023-01-10 09:54:48.660	2m 44s	2m 40s	105.3%	4.2 GB	11.4 GB	1.9 GB	651.2 MB
69	4e/382d2b	687491	markDuplicates (SRX1836009_SRR3655795)	COMPLETED	0	2023-01-10 09:54:49.495	2m 54s	2m 46s	104.4%	4.3 GB	11.4 GB	1.9 GB	675.3 MB
74	2e/ede764	687496	markDuplicates (SRX1836010_SRR3655798)	COMPLETED	0	2023-01-10 09:55:08.712	2m 34s	2m 27s	106.2%	4.2 GB	11.3 GB	1.9 GB	647.7 MB
23	fb/955c56	687353	trim_galore (SRX1836011_SRR3655800)	COMPLETED	0	2023-01-10 09:44:03.521	13m 45s	13m 38s	154.4%	230 MB	3 GB	28.2 GB	26.4 GB
26	e2/39943b	687344	trim_galore (SRX1836012_SRR3655802)	COMPLETED	0	2023-01-10 09:44:03.417	13m 50s	13m 40s	152.9%	234.2 MB	3 GB	27.5 GB	25.7 GB
87	cf/32ae5d	687509	dupradar (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-10 09:57:03.372	54.7s	52s	166.9%	238.7 MB	729.2 MB	4.7 GB	105.2 MB
86	5f/7a5c8d	687508	dupradar (SRX1836010_SRR3655797)	COMPLETED	0	2023-01-10 09:57:03.283	59.8s	52.9s	169.3%	238.8 MB	729.2 MB	4.8 GB	105.8 MB
21	a2/a1d1c9	687348	trim_galore (SRX1836007_SRR3655792)	COMPLETED	0	2023-01-10 09:44:03.463	14m 5s	13m 55s	154.1%	233 MB	3 GB	28.6 GB	26.7 GB
49	ad/288a8c	687473	rseqc (SRX1836008_SRR3655793)	COMPLETED	0	2023-01-10 09:54:24.029	3m 49s	3m 44s	99.3%	1.7 GB	1.9 GB	3.7 GB	38.9 MB
88	36/0c5510	687510	dupradar (SRX1836012_SRR3655801)	COMPLETED	0	2023-01-10 09:57:08.108	1m 5s	56.7s	170.9%	238.9 MB	705.8 MB	4.9 GB	105.7 MB
18	dd/dd6528	687349	trim_galore (SRX1836009_SRR3655796)	COMPLETED	0	2023-01-10 09:44:03.473	14m 15s	14m 5s	153.6%	234.4 MB	3 GB	28.8 GB	26.9 GB
